R/V Knorr Calliope CSV data file  (Time stamps are GMT)
Date, Time_GMT, AT, WXTP_Ta, WXTS_Ta, BPR, WXTP_Pa, WXTS_Pa, Dec_Lat, Dec_Lon, Depth12, Depth35, FLR, SPD, COG, SOG, LWR, WXTS_Ri, WXTP_Rc, WXTS_Rc, WXTP_Ri, WXTS_Dm, WXTS_Sm, WXTP_Dm, WXTP_Sm, HRH, WXTP_Ua, WXTS_Ua, SBE45C, SBE45S, SBE45T, Salinity, SSCND, SSTMP, SBE48T, HDT, SWR, SSV, SPAR, WXTP_TD, WXTS_TD, Wnd_TD, Wnd_TS, WXTP_TS, WXTS_TS, HdChkSum=7E
2012/05/01, 00:00:10, 17.80, 17.8, 17.8, 1024.30, 1024.0, 1024.3, 32.937457, -65.847919, 4859.00, 0.00, 56.30, -0.07, 233.1, 0.5, 307.00, 0.00, 174.04, 169.11, 0.0, 24, 7.2, 29, 5.7, 54.900, 54.9, 53.6, 50.1956, 36.3878, 20.5603, 36.3920, 50.1956, 20.5796, 20.5796, 24.5, 11.4, 1524.6047, -0.0021, 54.7, 49.5, 60.0, 5.4772, 6.0, 7.5, 7E
2012/05/01, 00:01:10, 17.80, 17.8, 17.8, 1024.30, 1024.1, 1024.3, 32.937494, -65.847868, 4861.00, 0.00, 56.60, 0.00, 298.6, 0.6, 305.60, 0.00, 174.04, 169.11, 0.0, 21, 6.6, 24, 7.0, 51.200, 51.2, 51.6, 50.1960, 36.3862, 20.5625, 36.3904, 50.1972, 20.5791, 20.5791, 24.8, 10.8, 1524.6018, -0.0021, 52.0, 48.9, 58.7, 6.5043, 7.1, 6.7, 7E
2012/05/01, 00:02:10, 17.70, 17.8, 17.7, 1024.40, 1024.1, 1024.4, 32.937556, -65.847820, 4869.00, 0.00, 56.40, -0.10, 3.2, 0.7, 305.30, 0.00, 174.04, 169.11, 0.0, 25, 6.6, 30, 6.3, 52.400, 52.4, 52.4, 50.1979, 36.3870, 20.5634, 36.3912, 50.1962, 20.5786, 20.5786, 24.6, 11.5, 1524.6009, -0.0021, 58.7, 53.1, 57.0, 6.0642, 6.1, 6.4, 7E
2012/05/01, 00:03:10, 17.70, 17.7, 17.7, 1024.40, 1024.1, 1024.4, 32.937625, -65.847731, 4857.00, 0.00, 56.80, 0.07, 26.4, 0.9, 305.90, 0.00, 174.04, 169.11, 0.0, 22, 5.4, 26, 4.9, 52.400, 52.4, 52.6, 50.1961, 36.3865, 20.5623, 36.3907, 50.1969, 20.5787, 20.5787, 26.9, 11.3, 1524.6018, -0.0021, 55.5, 50.5, 61.1, 5.5976, 4.5, 5.0, 7E
2012/05/01, 00:04:10, 17.70, 17.7, 17.7, 1024.20, 1024.1, 1024.2, 32.937663, -65.847635, 4859.00, 0.00, 56.40, -0.02, 354.1, 0.8, 304.50, 0.00, 174.04, 169.11, 0.0, 35, 5.7, 38, 5.8, 51.300, 51.3, 51.6, 50.1947, 36.3869, 20.5605, 36.3911, 50.1947, 20.5783, 20.5783, 24.8, 11.4, 1524.6001, -0.0021, 67.7, 64.3, 59.2, 5.3536, 5.7, 5.6, 7E
2012/05/01, 00:05:10, 17.70, 17.7, 17.7, 1024.40, 1024.2, 1024.4, 32.937723, -65.847523, 4870.00, 0.00, 56.80, 0.11, 35.6, 0.6, 304.90, 0.00, 174.04, 169.11, 0.0, 28, 5.4, 30, 4.7, 51.700, 51.7, 53.1, 50.1941, 36.3871, 20.5597, 36.3913, 50.1941, 20.5781, 20.5781, 25.0, 11.1, 1524.5998, -0.0021, 57.7, 55.0, 66.2, 5.0281, 4.4, 5.1, 7E
2012/05/01, 00:06:10, 17.70, 17.7, 17.7, 1024.40, 1024.2, 1024.4, 32.937812, -65.847396, 4860.00, 0.00, 56.80, 0.15, 1.1, 0.5, 306.30, 0.00, 174.04, 169.11, 0.0, 33, 4.3, 31, 3.8, 52.700, 52.7, 53.3, 50.1962, 36.3874, 20.5613, 36.3916, 50.1962, 20.5776, 20.5776, 25.3, 11.1, 1524.5988, -0.0020, 60.5, 61.8, 64.4, 4.7572, 3.7, 4.2, 7E
2012/05/01, 00:07:10, 17.70, 17.7, 17.7, 1024.40, 1024.2, 1024.4, 32.937933, -65.847264, 4859.00, 0.00, 56.80, 0.29, 49.8, 1.2, 307.50, 0.00, 174.04, 169.11, 0.0, 28, 5.9, 31, 6.7, 52.400, 52.4, 53.0, 50.1925, 36.3867, 20.5586, 36.3909, 50.1928, 20.5774, 20.5774, 24.9, 11.0, 1524.5977, -0.0021, 57.0, 53.4, 61.9, 4.1308, 6.1, 5.3, 7E
2012/05/01, 00:08:11, 17.70, 17.7, 17.7, 1024.30, 1024.3, 1024.3, 32.938065, -65.847165, 4857.00, 0.00, 56.40, 0.24, 311.1, 1.3, 306.70, 0.00, 174.04, 169.11, 0.0, 45, 6.7, 43, 6.7, 51.100, 51.1, 51.2, 50.1933, 36.3865, 20.5596, 36.3907, 50.1934, 20.5771, 20.5771, 24.6, 11.4, 1524.5971, -0.0021, 73.1, 74.7, 72.2, 6.7883, 7.0, 7.0, 7E
2012/05/01, 00:09:10, 17.70, 17.7, 17.7, 1024.50, 1024.2, 1024.5, 32.938232, -65.847115, 4857.00, 0.00, 56.40, 0.29, 53.2, 1.2, 306.40, 0.00, 174.04, 169.11, 0.0, 48, 7.1, 49, 7.2, 50.600, 50.6, 50.9, 50.1928, 36.3868, 20.5588, 36.3910, 50.1928, 20.5773, 20.5773, 26.1, 11.3, 1524.5973, -0.0021, 77.8, 76.3, 79.8, 6.0185, 6.6, 6.5, 7E
