R/V Knorr Calliope CSV data file  (Time stamps are GMT)
Date, Time_GMT, AT, WXTP_Ta, WXTS_Ta, BPR, WXTP_Pa, WXTS_Pa, Dec_Lat, Dec_Lon, Depth12, Depth35, FLR, SPD, COG, SOG, LWR, WXTS_Ri, WXTP_Rc, WXTS_Rc, WXTP_Ri, WXTS_Dm, WXTS_Sm, WXTP_Dm, WXTP_Sm, HRH, WXTP_Ua, WXTS_Ua, SBE45C, SBE45S, SBE45T, Salinity, SSCND, SSTMP, SBE48T, HDT, SWR, SSV, SPAR, WXTP_TD, WXTS_TD, Wnd_TD, Wnd_TS, WXTP_TS, WXTS_TS, HdChkSum=7E
2012/04/26, 00:00:44, 13.00, 13.0, 13.0, 1013.20, 1012.9, 1013.2, 38.879222, -69.104436, 3236.00, 0.00, 110.40, 0.40, 160.2, 0.4, 277.90, 0.00, 103.98, 99.40, 0.0, 36, 4.2, 39, 3.8, 69.900, 69.9, 69.9, 38.6017, 32.8504, 12.8903, 32.8531, 38.6017, 13.1369, 13.1369, 210.7, 10.6, 1498.1224, -0.0020, 253.8, 250.1, 258.6, 4.0146, 3.8, 4.2, 7E
2012/04/26, 00:01:44, 13.00, 13.0, 13.0, 1013.20, 1012.9, 1013.2, 38.879179, -69.104348, 3236.00, 0.00, 111.50, 0.29, 158.7, 0.7, 277.70, 0.00, 103.98, 99.40, 0.0, 40, 4.0, 39, 4.3, 69.200, 69.2, 69.2, 38.5961, 32.8474, 12.8877, 32.8501, 38.5961, 13.1005, 13.1005, 210.8, 10.7, 1497.9877, -0.0020, 255.5, 256.5, 256.4, 4.0338, 4.3, 4.0, 7E
2012/04/26, 00:02:44, 13.00, 13.0, 13.0, 1013.40, 1013.1, 1013.4, 38.879154, -69.104242, 3236.00, 0.00, 110.80, 0.18, 14.9, 0.5, 278.30, 0.00, 103.98, 99.40, 0.0, 35, 3.4, 39, 3.6, 69.200, 69.2, 69.4, 38.5858, 32.8469, 12.8771, 32.8495, 38.5858, 13.0779, 13.0779, 210.2, 10.7, 1497.9085, -0.0020, 246.6, 242.3, 247.5, 4.0442, 3.8, 3.6, 7E
2012/04/26, 00:03:43, 13.00, 13.0, 13.0, 1013.40, 1013.0, 1013.4, 38.879145, -69.104103, 3237.00, 0.00, 111.50, 0.07, 77.2, 1.2, 278.30, 0.00, 103.98, 99.40, 0.0, 36, 3.5, 40, 3.3, 70.900, 70.9, 71.1, 38.6011, 32.8463, 12.8943, 32.8491, 38.6011, 13.0693, 13.0693, 210.3, 10.4, 1497.8609, -0.0020, 252.0, 248.3, 249.3, 4.1034, 3.9, 4.1, 7E
2012/04/26, 00:04:41, 13.00, 13.0, 13.0, 1013.30, 1013.0, 1013.3, 38.879141, -69.104009, 3237.00, 0.00, 111.50, 0.19, 337.8, 1.7, 278.20, 0.00, 103.98, 99.40, 0.0, 33, 3.9, 40, 3.7, 70.900, 69.6, 69.9, 38.5932, 32.8423, 12.8904, 32.8450, 38.5989, 13.0878, 13.0878, 210.7, 10.8, 1497.9222, -0.0020, 238.1, 231.8, 235.1, 3.5814, 3.7, 4.0, 7E
2012/04/26, 00:05:42, 13.00, 12.9, 13.0, 1013.20, 1012.9, 1013.2, 38.879103, -69.103910, 3236.00, 0.00, 110.90, 0.35, 16.4, 1.2, 278.40, 0.00, 103.98, 99.40, 0.0, 34, 3.3, 38, 2.7, 69.600, 69.8, 70.0, 38.9129, 32.8757, 13.2002, 32.8784, 38.8143, 13.1138, 13.1138, 211.1, 10.8, 1498.0459, -0.0020, 241.0, 238.6, 242.2, 4.1999, 3.1, 3.7, 7E
2012/04/26, 00:06:41, 13.00, 13.0, 13.0, 1013.50, 1013.1, 1013.5, 38.879055, -69.103843, 3236.00, 0.00, 111.50, 0.45, 301.5, 1.0, 278.00, 0.00, 103.98, 99.40, 0.0, 37, 4.1, 38, 3.9, 69.800, 70.9, 71.0, 39.0361, 32.8734, 13.3368, 32.8762, 39.0459, 13.1211, 13.1211, 209.6, 10.2, 1498.0692, -0.0020, 242.2, 241.1, 241.4, 3.1769, 3.6, 3.8, 7E
2012/04/26, 00:07:43, 13.00, 12.9, 13.0, 1013.40, 1013.1, 1013.4, 38.878971, -69.103773, 3237.00, 0.00, 111.50, 0.52, 128.4, 0.6, 278.00, 0.00, 103.98, 99.40, 0.0, 31, 3.8, 33, 3.7, 70.500, 70.5, 70.4, 38.8262, 32.8547, 13.1301, 32.8574, 38.8262, 13.1117, 13.1117, 211.1, 10.6, 1498.0223, -0.0020, 248.7, 246.4, 252.7, 3.9595, 3.8, 3.9, 7E
2012/04/26, 00:08:44, 13.00, 12.9, 13.0, 1013.50, 1013.2, 1013.5, 38.878889, -69.103757, 3236.00, 0.00, 109.80, 0.45, 271.3, 0.4, 278.30, 0.00, 103.98, 99.40, 0.0, 30, 4.0, 33, 4.4, 71.500, 71.5, 71.8, 38.7500, 32.8520, 13.0501, 32.8548, 38.7500, 13.0900, 13.0900, 210.7, 10.6, 1497.9578, -0.0020, 243.2, 239.6, 245.7, 3.3361, 4.2, 3.8, 7E
2012/04/26, 00:09:43, 13.00, 12.9, 13.0, 1013.50, 1013.3, 1013.5, 38.878791, -69.103734, 3236.00, 0.00, 111.80, 0.56, 117.6, 0.7, 278.30, 0.00, 103.98, 99.40, 0.0, 28, 3.3, 36, 3.2, 71.100, 71.1, 70.7, 38.6369, 32.8458, 12.9341, 32.8484, 38.6369, 13.0629, 13.0629, 211.0, 10.2, 1497.8625, -0.0020, 252.2, 244.2, 248.6, 4.0170, 3.4, 3.5, 7E
