R/V Knorr Calliope CSV data file  (Time stamps are GMT)
Date, Time_GMT, AT, WXTP_Ta, WXTS_Ta, BPR, WXTP_Pa, WXTS_Pa, Dec_Lat, Dec_Lon, Depth12, Depth35, FLR, SPD, COG, SOG, LWR, WXTS_Ri, WXTP_Rc, WXTS_Rc, WXTP_Ri, WXTS_Dm, WXTS_Sm, WXTP_Dm, WXTP_Sm, HRH, WXTP_Ua, WXTS_Ua, SBE45C, SBE45S, SBE45T, Salinity, SSCND, SSTMP, SBE48T, HDT, SWR, SSV, SPAR, WXTP_TD, WXTS_TD, Wnd_TD, Wnd_TS, WXTP_TS, WXTS_TS, HdChkSum=7E
2012/05/03, 00:00:11, 20.30, 20.4, 20.3, 1019.90, 1019.7, 1019.9, 33.165422, -65.686499, 4388.00, 0.00, 55.20, 0.11, 346.7, 0.5, 408.00, 0.00, 174.05, 169.11, 0.0, 358, 8.2, 3, 8.5, 79.500, 79.5, 79.4, 50.1994, 36.3728, 20.5813, 36.3771, 50.2006, 20.5670, 20.5670, 265.7, 11.7, 1524.5548, -0.0021, 267.7, 262.3, 266.1, 7.2189, 8.4, 8.2, 7E
2012/05/03, 00:01:11, 20.30, 20.3, 20.3, 1019.90, 1019.9, 1019.9, 33.165507, -65.686498, 4394.00, 0.00, 55.30, 0.03, 92.9, 0.3, 408.20, 0.00, 174.05, 169.11, 0.0, 357, 8.2, 4, 8.3, 79.100, 79.1, 79.1, 50.1994, 36.3733, 20.5808, 36.3775, 50.1998, 20.5655, 20.5655, 264.5, 11.4, 1524.5503, -0.0021, 269.2, 262.0, 269.5, 7.4615, 8.4, 8.3, 7E
2012/05/03, 00:02:10, 20.30, 20.3, 20.3, 1019.90, 1019.9, 1019.9, 33.165569, -65.686509, 4397.00, 0.00, 55.20, 0.04, 333.7, 0.5, 407.50, 0.00, 174.05, 169.11, 0.0, 356, 7.3, 1, 7.5, 79.700, 79.7, 79.6, 50.2004, 36.3741, 20.5807, 36.3784, 50.1984, 20.5646, 20.5646, 263.7, 11.4, 1524.5465, -0.0021, 264.2, 258.7, 267.4, 7.5684, 7.4, 7.2, 7E
2012/05/03, 00:03:10, 20.30, 20.3, 20.3, 1019.90, 1019.8, 1019.9, 33.165605, -65.686518, 4397.00, 0.00, 55.50, 0.18, 112.9, 0.5, 407.70, 0.00, 174.05, 169.11, 0.0, 0, 7.7, 3, 7.2, 80.300, 80.3, 80.1, 50.1989, 36.3732, 20.5804, 36.3774, 50.1991, 20.5637, 20.5637, 264.9, 11.3, 1524.5459, -0.0021, 269.3, 266.0, 270.7, 7.1066, 7.4, 7.9, 7E
2012/05/03, 00:04:10, 20.30, 20.3, 20.3, 1020.00, 1019.8, 1020.0, 33.165624, -65.686533, 4419.00, 0.00, 55.10, 0.23, 270.0, 0.1, 407.70, 0.00, 174.05, 169.11, 0.0, 352, 7.1, 358, 6.7, 80.700, 80.7, 80.6, 50.1981, 36.3731, 20.5798, 36.3773, 50.1981, 20.5621, 20.5621, 264.8, 11.5, 1524.5408, -0.0021, 263.5, 257.1, 269.1, 6.8028, 6.6, 7.0, 7E
2012/05/03, 00:05:10, 20.30, 20.3, 20.3, 1020.00, 1019.8, 1020.0, 33.165655, -65.686517, 4398.00, 0.00, 55.20, 0.01, 214.4, 0.2, 407.60, 0.00, 174.05, 169.11, 0.0, 354, 8.0, 359, 7.9, 80.200, 80.2, 80.0, 50.1961, 36.3732, 20.5778, 36.3774, 50.1979, 20.5617, 20.5617, 265.5, 11.5, 1524.5402, -0.0021, 265.6, 260.2, 265.3, 6.4584, 7.8, 7.9, 7E
2012/05/03, 00:06:10, 20.30, 20.3, 20.3, 1019.90, 1019.7, 1019.9, 33.165715, -65.686501, 4370.00, 0.00, 55.20, 0.07, 18.6, 0.5, 408.10, 0.00, 174.05, 169.11, 0.0, 0, 8.0, 1, 8.5, 79.700, 79.7, 79.7, 50.1957, 36.3726, 20.5781, 36.3776, 50.1957, 20.5610, 20.5610, 264.4, 11.8, 1524.5382, -0.0021, 264.6, 263.2, 263.1, 7.3352, 8.6, 8.1, 7E
2012/05/03, 00:07:11, 20.30, 20.3, 20.3, 1019.80, 1019.8, 1019.8, 33.165749, -65.686546, 4367.00, 0.00, 55.50, 0.23, 316.7, 0.7, 407.50, 0.00, 174.05, 169.11, 0.0, 357, 8.4, 2, 8.3, 79.800, 79.8, 79.6, 50.1979, 36.3739, 20.5786, 36.3782, 50.1964, 20.5602, 20.5602, 265.1, 11.5, 1524.5356, -0.0021, 266.3, 260.8, 264.3, 7.5592, 8.1, 8.2, 7E
2012/05/03, 00:08:10, 20.30, 20.3, 20.3, 1020.00, 1019.8, 1020.0, 33.165799, -65.686552, 4370.00, 0.00, 55.10, -0.15, 332.9, 1.0, 407.90, 0.00, 174.05, 169.11, 0.0, 0, 9.0, 4, 8.7, 79.900, 79.9, 79.8, 50.1964, 36.3722, 20.5791, 36.3765, 50.1964, 20.5600, 20.5600, 263.5, 11.7, 1524.5342, -0.0021, 265.6, 261.2, 264.8, 7.6350, 8.5, 8.8, 7E
2012/05/03, 00:09:10, 20.30, 20.3, 20.3, 1019.90, 1019.7, 1019.9, 33.165810, -65.686526, 4415.00, 0.00, 55.30, 0.13, 139.6, 0.5, 408.00, 0.00, 174.05, 169.11, 0.0, 0, 9.0, 5, 8.4, 79.800, 79.8, 79.6, 50.1972, 36.3730, 20.5790, 36.3772, 50.1974, 20.5592, 20.5592, 264.7, 11.4, 1524.5329, -0.0021, 272.1, 266.7, 270.9, 8.1216, 8.6, 9.2, 7E
2012/05/03, 00:10:11, 20.30, 20.3, 20.3, 1019.90, 1019.7, 1019.9, 33.165840, -65.686542, 4370.00, 0.00, 55.20, 0.07, 104.0, 0.5, 408.80, 0.00, 174.05, 169.11, 0.0, 358, 8.9, 3, 9.2, 79.100, 79.1, 79.3, 50.1991, 36.3738, 20.5799, 36.3780, 50.1977, 20.5586, 20.5586, 265.2, 11.3, 1524.5321, -0.0021, 269.1, 263.9, 269.9, 8.3189, 9.4, 9.1, 7E
2012/05/03, 00:11:10, 20.30, 20.3, 20.3, 1020.00, 1019.9, 1020.0, 33.165869, -65.686558, 4399.00, 0.00, 55.30, 0.07, 21.0, 1.2, 407.70, 0.00, 174.05, 169.11, 0.0, 0, 7.6, 2, 8.2, 79.400, 79.4, 79.4, 50.1984, 36.3730, 20.5802, 36.3772, 50.1984, 20.5592, 20.5592, 265.0, 11.3, 1524.5328, -0.0021, 263.4, 260.9, 267.0, 8.7500, 8.5, 7.9, 7E
2012/05/03, 00:12:10, 20.30, 20.3, 20.3, 1019.90, 1019.7, 1019.9, 33.165908, -65.686546, 4399.00, 0.00, 54.90, 0.05, 268.7, 0.1, 407.40, 0.00, 174.05, 169.11, 0.0, 358, 8.7, 4, 9.1, 80.000, 80.0, 79.7, 50.1986, 36.3732, 20.5801, 36.3775, 50.1991, 20.5592, 20.5592, 264.5, 11.8, 1524.5332, -0.0021, 269.5, 263.1, 270.3, 7.1938, 9.1, 8.7, 7E
