R/V Knorr Calliope CSV data file  (Time stamps are GMT)
Date, Time_GMT, AT, WXTP_Ta, WXTS_Ta, BPR, WXTP_Pa, WXTS_Pa, Dec_Lat, Dec_Lon, Depth12, Depth35, FLR, SPD, COG, SOG, LWR, WXTS_Ri, WXTP_Rc, WXTS_Rc, WXTP_Ri, WXTS_Dm, WXTS_Sm, WXTP_Dm, WXTP_Sm, HRH, WXTP_Ua, WXTS_Ua, SBE45C, SBE45S, SBE45T, Salinity, SSCND, SSTMP, SBE48T, HDT, SWR, SSV, WXTP_TD, WXTS_TD, Wnd_TD, Wnd_TS, WXTP_TS, WXTS_TS, HdChkSum=62
2012/04/19, 00:00:03, 9.40, 9.3, 9.4, 1021.80, 1021.5, 1021.8, 41.523951, -70.672262, , , 71.60, 0.01, 0.0, 0.0, 338.70, 0.00, 12.32, 11.70, 0.0, 133, 2.4, 146, 2.8, 68.100, 68.1, 68.1, 44.3343, 31.3717, 20.9495, 31.3753, 44.3343, 10.9136, 10.9136, 24.0, 11.0, 1488.6890, 170.8, 157.5, 150.4, 2.1506, 2.8, 2.4, 62
2012/04/19, 00:01:02, 9.40, 9.3, 9.4, 1021.80, 1021.5, 1021.8, 41.523952, -70.672262, , , 71.10, 0.02, 159.4, 0.0, 339.10, 0.00, 12.32, 11.70, 0.0, 143, 3.1, 148, 3.7, 68.200, 68.2, 67.9, 44.3361, 31.3727, 20.9500, 31.3764, 44.3361, 10.9139, 10.9139, 24.0, 11.4, 1488.6893, 172.8, 167.4, 163.8, 2.9769, 3.7, 3.1, 62
2012/04/19, 00:02:02, 9.40, 9.3, 9.4, 1021.80, 1021.5, 1021.8, 41.523951, -70.672262, , , 71.10, 0.01, 336.8, 0.0, 339.10, 0.00, 12.32, 11.70, 0.0, 142, 3.3, 147, 3.9, 68.500, 68.5, 68.5, 44.3376, 31.3730, 20.9512, 31.3767, 44.3376, 10.9131, 10.9131, 24.0, 11.0, 1488.6895, 171.7, 166.4, 156.8, 2.6002, 3.9, 3.3, 62
2012/04/19, 00:03:02, 9.30, 9.3, 9.3, 1021.80, 1021.4, 1021.8, 41.523951, -70.672260, , , 71.60, 0.02, 90.0, 0.0, 339.10, 0.00, 12.32, 11.70, 0.0, 128, 2.8, 128, 2.3, 68.500, 68.5, 68.4, 44.3400, 31.3749, 20.9512, 31.3786, 44.3400, 10.9130, 10.9130, 24.5, 11.0, 1488.6896, 153.3, 152.9, 161.5, 2.8019, 2.3, 2.8, 62
2012/04/19, 00:04:02, 9.30, 9.3, 9.3, 1021.80, 1021.4, 1021.8, 41.523951, -70.672260, , , 72.00, 0.02, 90.0, 0.0, 339.50, 0.00, 12.32, 11.70, 0.0, 132, 3.7, 134, 3.8, 67.700, 67.7, 67.7, 44.3414, 31.3756, 20.9517, 31.3793, 44.3414, 10.9123, 10.9123, 24.5, 11.4, 1488.6896, 159.3, 156.9, 154.8, 3.1217, 3.8, 3.7, 62
2012/04/19, 00:05:02, 9.30, 9.2, 9.3, 1021.80, 1021.4, 1021.8, 41.523952, -70.672260, , , 71.10, 0.02, 296.6, 0.0, 339.30, 0.00, 12.32, 11.70, 0.0, 135, 3.9, 121, 3.7, 67.200, 67.2, 67.3, 44.3425, 31.3762, 20.9521, 31.3799, 44.3425, 10.9127, 10.9127, 24.6, 11.5, 1488.6895, 146.3, 160.0, 159.6, 3.0373, 3.7, 3.9, 62
2012/04/19, 00:06:02, 9.20, 9.2, 9.2, 1021.80, 1021.5, 1021.8, 41.523951, -70.672259, , , 71.40, 0.02, 301.0, 0.0, 339.40, 0.00, 12.32, 11.70, 0.0, 131, 2.7, 132, 2.9, 67.100, 67.1, 67.2, 44.3443, 31.3773, 20.9525, 31.3810, 44.3443, 10.9120, 10.9120, 24.6, 11.3, 1488.6905, 157.2, 155.9, 153.8, 3.1213, 2.9, 2.7, 62
2012/04/19, 00:07:02, 9.30, 9.2, 9.3, 1021.80, 1021.5, 1021.8, 41.523952, -70.672260, , , 71.40, -0.03, 301.0, 0.0, 339.30, 0.00, 12.32, 11.70, 0.0, 136, 3.2, 136, 3.7, 66.800, 66.8, 66.7, 44.3458, 31.3780, 20.9532, 31.3817, 44.3458, 10.9118, 10.9118, 24.6, 11.0, 1488.6884, 161.3, 160.9, 156.5, 2.8760, 3.7, 3.2, 62
2012/04/19, 00:08:02, 9.30, 9.2, 9.3, 1021.80, 1021.5, 1021.8, 41.523951, -70.672260, , , 71.40, 0.00, 90.0, 0.0, 339.00, 0.00, 12.32, 11.70, 0.0, 119, 2.1, 111, 1.8, 67.300, 67.3, 67.1, 44.3474, 31.3792, 20.9533, 31.3829, 44.3474, 10.9112, 10.9112, 24.6, 11.1, 1488.6879, 136.5, 144.1, 159.6, 3.1590, 1.8, 2.1, 62
2012/04/19, 00:09:01, 9.30, 9.2, 9.3, 1021.90, 1021.5, 1021.9, 41.523951, -70.672259, , , 70.40, -0.12, 54.5, 0.0, 339.30, 0.00, 12.32, 11.70, 0.0, 113, 1.8, 129, 1.8, 67.200, 67.2, 67.1, 44.3483, 31.3797, 20.9536, 31.3834, 44.3483, 10.9103, 10.9103, 24.6, 11.4, 1488.6864, 154.7, 138.3, 140.0, 2.2405, 1.8, 1.8, 62
2012/04/19, 00:10:01, 9.30, 9.2, 9.3, 1021.90, 1021.5, 1021.9, 41.523951, -70.672260, , , 71.10, 0.01, 315.0, 0.0, 339.00, 0.00, 12.32, 11.70, 0.0, 120, 2.6, 126, 2.6, 67.000, 67.0, 66.9, 44.3505, 31.3812, 20.9539, 31.3849, 44.3505, 10.9079, 10.9079, 24.6, 10.8, 1488.6826, 151.3, 145.0, 153.0, 1.9696, 2.6, 2.6, 62
