R/V Knorr Calliope CSV data file  (Time stamps are GMT)
Date, Time_GMT, AT, WXTP_Ta, WXTS_Ta, BPR, WXTP_Pa, WXTS_Pa, Dec_Lat, Dec_Lon, Depth12, Depth35, FLR, SPD, COG, SOG, LWR, WXTS_Ri, WXTP_Rc, WXTS_Rc, WXTP_Ri, WXTS_Dm, WXTS_Sm, WXTP_Dm, WXTP_Sm, HRH, WXTP_Ua, WXTS_Ua, SBE45C, SBE45S, SBE45T, Salinity, SSCND, SSTMP, SBE48T, HDT, SWR, SSV, WXTP_TD, WXTS_TD, Wnd_TD, Wnd_TS, WXTP_TS, WXTS_TS, HdChkSum=62
2012/04/21, 00:00:08, 12.20, 12.1, 12.2, 1015.50, 1015.2, 1015.5, 41.523953, -70.672272, , , 69.20, 0.08, 270.0, 0.0, 308.20, 0.00, 12.32, 11.70, 0.0, 140, 2.3, 136, 2.1, 61.900, 61.9, 61.9, 44.7505, 31.5741, 21.1209, 31.5779, 44.7505, 11.4112, 11.4112, 24.4, 10.4, 1490.6841, 161.0, 164.7, 157.2, 2.3653, 2.1, 2.3, 62
2012/04/21, 00:01:08, 12.20, 12.2, 12.2, 1015.50, 1015.2, 1015.5, 41.523953, -70.672273, , , 69.60, -0.04, 90.0, 0.0, 305.00, 0.00, 12.32, 11.70, 0.0, 130, 3.0, 129, 2.6, 61.800, 61.8, 61.8, 44.7468, 31.5752, 21.1155, 31.5789, 44.7468, 11.4114, 11.4114, 24.4, 10.8, 1490.6868, 154.2, 154.8, 150.0, 2.5447, 2.6, 3.0, 62
2012/04/21, 00:02:08, 12.20, 12.2, 12.2, 1015.40, 1015.1, 1015.4, 41.523953, -70.672273, , , 68.90, 0.00, 180.0, 0.0, 302.80, 0.00, 12.32, 11.70, 0.0, 111, 2.7, 118, 2.4, 61.700, 61.7, 61.7, 44.7426, 31.5756, 21.1104, 31.5794, 44.7426, 11.4110, 11.4110, 24.2, 10.6, 1490.6848, 142.9, 135.5, 149.5, 2.8925, 2.4, 2.7, 62
2012/04/21, 00:03:08, 12.20, 12.2, 12.2, 1015.40, 1015.1, 1015.4, 41.523953, -70.672273, , , 68.60, 0.12, 106.7, 0.0, 300.60, 0.00, 12.32, 11.70, 0.0, 105, 2.0, 116, 2.4, 61.500, 61.5, 61.6, 44.7388, 31.5767, 21.1048, 31.5805, 44.7388, 11.4109, 11.4109, 24.1, 10.6, 1490.6840, 141.0, 129.6, 151.3, 2.6207, 2.4, 2.0, 62
2012/04/21, 00:04:08, 12.20, 12.2, 12.2, 1015.40, 1015.1, 1015.4, 41.523953, -70.672272, , , 68.90, 0.06, 104.0, 0.0, 300.00, 0.00, 12.32, 11.70, 0.0, 150, 2.6, 136, 3.2, 61.900, 61.9, 61.9, 44.7350, 31.5776, 21.0997, 31.5813, 44.7350, 11.4106, 11.4106, 24.4, 10.7, 1490.6845, 161.2, 174.9, 141.6, 2.0845, 3.2, 2.6, 62
2012/04/21, 00:05:08, 12.20, 12.2, 12.2, 1015.50, 1015.1, 1015.5, 41.523953, -70.672273, , , 68.60, 0.03, 309.8, 0.0, 299.10, 0.00, 12.32, 11.70, 0.0, 119, 3.3, 119, 3.1, 62.200, 62.2, 62.3, 44.7304, 31.5775, 21.0948, 31.5813, 44.7304, 11.4106, 11.4106, 24.5, 10.6, 1490.6849, 144.2, 143.9, 153.7, 2.5989, 3.1, 3.3, 62
2012/04/21, 00:06:08, 12.20, 12.2, 12.2, 1015.40, 1015.2, 1015.4, 41.523953, -70.672273, , , 69.20, 0.04, 321.3, 0.0, 298.90, 0.00, 12.32, 11.70, 0.0, 135, 3.1, 136, 3.1, 61.900, 61.9, 62.0, 44.7262, 31.5783, 21.0893, 31.5820, 44.7262, 11.4102, 11.4102, 24.6, 10.6, 1490.6854, 161.3, 159.9, 155.1, 2.9512, 3.1, 3.1, 62
2012/04/21, 00:07:08, 12.20, 12.2, 12.2, 1015.40, 1015.2, 1015.4, 41.523953, -70.672273, , , 68.60, 0.05, 90.0, 0.0, 298.20, 0.00, 12.32, 11.70, 0.0, 122, 3.5, 128, 3.3, 62.000, 62.0, 62.0, 44.7218, 31.5785, 21.0842, 31.5823, 44.7218, 11.4098, 11.4098, 24.6, 10.6, 1490.6846, 153.5, 147.2, 156.0, 3.4539, 3.3, 3.5, 62
2012/04/21, 00:08:08, 12.20, 12.2, 12.2, 1015.50, 1015.2, 1015.5, 41.523953, -70.672273, , , 68.60, 0.06, 0.0, 0.0, 297.40, 0.00, 12.32, 11.70, 0.0, 133, 3.2, 128, 3.0, 61.900, 61.9, 61.8, 44.7175, 31.5792, 21.0787, 31.5829, 44.7175, 11.4088, 11.4088, 24.2, 11.0, 1490.6819, 153.0, 157.7, 155.8, 3.5089, 3.0, 3.2, 62
2012/04/21, 00:09:08, 12.20, 12.2, 12.2, 1015.50, 1015.2, 1015.5, 41.523953, -70.672273, , , 68.90, -0.06, 63.4, 0.0, 295.60, 0.00, 12.32, 11.70, 0.0, 143, 3.6, 140, 3.6, 62.600, 62.6, 62.5, 44.7139, 31.5804, 21.0733, 31.5841, 44.7139, 11.4074, 11.4074, 24.2, 11.3, 1490.6779, 165.0, 167.6, 152.1, 2.5724, 3.6, 3.6, 62
2012/04/21, 00:10:08, 12.20, 12.2, 12.2, 1015.40, 1015.1, 1015.4, 41.523953, -70.672273, , , 68.90, 0.08, 108.4, 0.0, 295.90, 0.00, 12.32, 11.70, 0.0, 129, 4.0, 127, 3.9, 62.400, 62.4, 62.3, 44.7086, 31.5803, 21.0677, 31.5840, 44.7086, 11.4054, 11.4054, 24.2, 10.7, 1490.6744, 152.1, 153.7, 155.0, 3.1698, 3.9, 4.0, 62
2012/04/21, 00:11:08, 12.20, 12.2, 12.2, 1015.40, 1015.1, 1015.4, 41.523953, -70.672273, , , 69.20, 0.04, 51.3, 0.0, 294.80, 0.00, 12.32, 11.70, 0.0, 132, 2.3, 132, 2.5, 62.200, 62.2, 62.3, 44.7045, 31.5810, 21.0624, 31.5847, 44.7045, 11.4041, 11.4041, 24.4, 10.4, 1490.6667, 157.4, 157.1, 154.3, 2.9638, 2.5, 2.3, 62
2012/04/21, 00:12:08, 12.20, 12.2, 12.2, 1015.50, 1015.1, 1015.5, 41.523953, -70.672273, , , 68.90, 0.06, 346.0, 0.0, 294.40, 0.00, 12.32, 11.70, 0.0, 138, 2.8, 146, 2.3, 62.100, 62.1, 62.1, 44.7008, 31.5820, 21.0570, 31.5858, 44.7008, 11.4019, 11.4019, 24.4, 11.0, 1490.6613, 171.1, 162.8, 158.8, 2.7398, 2.3, 2.8, 62
2012/04/21, 00:13:08, 12.20, 12.2, 12.2, 1015.40, 1015.1, 1015.4, 41.523953, -70.672273, , , 69.90, 0.08, 90.0, 0.0, 295.00, 0.00, 12.32, 11.70, 0.0, 93, 1.7, 87, 2.1, 62.600, 62.6, 62.5, 44.6958, 31.5824, 21.0512, 31.5861, 44.6958, 11.4000, 11.4000, 24.3, 11.0, 1490.6546, 112.2, 117.9, 148.7, 1.7947, 2.1, 1.7, 62
2012/04/21, 00:14:08, 12.20, 12.2, 12.2, 1015.40, 1015.0, 1015.4, 41.523953, -70.672273, , , 68.30, 0.03, 123.7, 0.0, 295.10, 0.00, 12.32, 11.70, 0.0, 104, 2.1, 99, 1.9, 62.300, 62.3, 62.4, 44.6907, 31.5821, 21.0461, 31.5858, 44.6907, 11.3979, 11.3979, 24.4, 11.0, 1490.6474, 124.2, 128.8, 130.6, 1.9317, 1.9, 2.1, 62
2012/04/21, 00:15:08, 12.20, 12.2, 12.2, 1015.40, 1015.0, 1015.4, 41.523953, -70.672274, , , 68.60, 0.11, 206.6, 0.0, 294.70, 0.00, 12.32, 11.70, 0.0, 110, 3.0, 108, 3.0, 62.300, 62.3, 62.5, 44.6862, 31.5826, 21.0406, 31.5864, 44.6862, 11.3959, 11.3959, 24.3, 10.4, 1490.6421, 133.0, 134.6, 130.6, 1.5523, 3.0, 3.0, 62
2012/04/21, 00:16:08, 12.20, 12.2, 12.2, 1015.40, 1015.1, 1015.4, 41.523953, -70.672274, , , 69.60, 0.01, 0.0, 0.0, 294.80, 0.00, 12.32, 11.70, 0.0, 121, 2.3, 120, 2.4, 61.800, 61.8, 61.8, 44.6822, 31.5835, 21.0350, 31.5873, 44.6822, 11.3932, 11.3932, 24.2, 11.0, 1490.6338, 145.0, 145.7, 139.1, 2.3618, 2.4, 2.3, 62
