R/V Knorr Calliope CSV data file  (Time stamps are GMT)
Date, Time_GMT, AT, WXTP_Ta, WXTS_Ta, BPR, WXTP_Pa, WXTS_Pa, Dec_Lat, Dec_Lon, Depth12, Depth35, FLR, SPD, COG, SOG, WXTS_Ri, WXTP_Rc, WXTS_Rc, WXTP_Ri, WXTS_Dm, WXTS_Sm, WXTP_Dm, WXTP_Sm, HRH, WXTP_Ua, WXTS_Ua, SBE45C, SBE45S, SBE45T, Salinity, SSCND, SSTMP, SBE48T, HDT, SSV, SPAR, WXTP_TD, WXTS_TD, Wnd_TD, Wnd_TS, WXTP_TS, WXTS_TS, HdChkSum=61
2012/06/23, 00:00:22, 12.30, 12.3, 12.3, 1012.90, 1012.7, 1012.9, 52.749359, -30.507769, 3294.00, 0.00, 304.90, 0.34, 243.1, 0.6, 0.00, 60.40, 60.31, 0.0, 19, 6.3, 23, 6.4, 76.900, 76.9, 76.6, 39.9877, 34.0230, 13.0515, 34.0258, 39.9877, 12.7649, 12.7649, 358.2, 1498.2420, -0.0021, 23.7, 19.6, 21.4, 6.0487, 6.6, 6.5, 61
2012/06/23, 00:01:22, 12.30, 12.3, 12.3, 1012.80, 1012.7, 1012.8, 52.749361, -30.507735, 3294.00, 0.00, 307.20, 0.24, 138.2, 0.9, 0.00, 60.40, 60.31, 0.0, 22, 6.4, 23, 5.4, 76.300, 76.3, 76.1, 39.9849, 34.0205, 13.0513, 34.0234, 39.9849, 12.7635, 12.7635, 358.4, 1498.2344, -0.0021, 17.8, 17.1, 18.9, 6.1125, 5.6, 6.6, 61
2012/06/23, 00:02:21, 12.30, 12.3, 12.3, 1012.80, 1012.6, 1012.8, 52.749359, -30.507692, 3294.00, 0.00, 304.40, 0.25, 273.0, 0.5, 0.00, 60.40, 60.31, 0.0, 19, 6.4, 23, 6.7, 76.600, 76.6, 76.5, 39.9855, 34.0258, 13.0461, 34.0286, 39.9855, 12.7623, 12.7623, 358.1, 1498.2366, -0.0021, 24.0, 19.8, 28.0, 6.1243, 6.8, 6.5, 61
2012/06/23, 00:03:22, 12.30, 12.3, 12.3, 1012.80, 1012.7, 1012.8, 52.749362, -30.507626, 3294.00, 0.00, 306.80, 0.24, 305.5, 0.2, 0.00, 60.40, 60.31, 0.0, 23, 6.4, 28, 6.6, 76.600, 76.6, 76.4, 39.9816, 34.0242, 13.0437, 34.0271, 39.9816, 12.7616, 12.7616, 358.5, 1498.2325, -0.0021, 28.1, 22.7, 24.0, 5.7890, 6.6, 6.4, 61
2012/06/23, 00:04:22, 12.30, 12.3, 12.3, 1012.80, 1012.7, 1012.8, 52.749358, -30.507588, 3294.00, 0.00, 303.50, 0.19, 201.3, 0.6, 0.00, 60.40, 60.31, 0.0, 24, 6.7, 29, 7.0, 76.800, 76.8, 76.2, 39.9788, 34.0206, 13.0448, 34.0234, 39.9788, 12.7598, 12.7598, 358.7, 1498.2220, -0.0021, 28.2, 23.0, 26.4, 6.0613, 7.3, 7.0, 61
2012/06/23, 00:05:21, 12.30, 12.2, 12.3, 1012.80, 1012.6, 1012.8, 52.749366, -30.507554, 3294.00, 0.00, 304.10, 0.28, 184.0, 0.6, 0.00, 60.40, 60.31, 0.0, 23, 6.4, 26, 6.3, 76.100, 76.1, 75.7, 39.9800, 34.0214, 13.0451, 34.0243, 39.9800, 12.7594, 12.7594, 359.0, 1498.2217, -0.0021, 24.8, 21.6, 26.5, 6.1725, 6.6, 6.7, 61
2012/06/23, 00:06:22, 12.30, 12.2, 12.3, 1012.80, 1012.6, 1012.8, 52.749363, -30.507555, 3294.00, 0.00, 305.60, 0.13, 273.3, 0.2, 0.00, 60.40, 60.31, 0.0, 27, 6.5, 32, 6.2, 75.900, 75.9, 76.0, 39.9810, 34.0218, 13.0457, 34.0247, 39.9810, 12.7581, 12.7581, 358.9, 1498.2179, -0.0020, 32.4, 27.1, 29.1, 6.2028, 6.2, 6.5, 61
2012/06/23, 00:07:22, 12.30, 12.3, 12.3, 1012.80, 1012.6, 1012.8, 52.749359, -30.507527, 3294.00, 0.00, 308.60, 0.12, 49.0, 0.5, 0.00, 60.40, 60.31, 0.0, 19, 6.7, 23, 6.9, 76.400, 76.4, 75.9, 39.9810, 34.0218, 13.0458, 34.0246, 39.9810, 12.7573, 12.7573, 359.0, 1498.2151, -0.0021, 21.8, 17.3, 29.3, 5.7917, 6.7, 6.5, 61
2012/06/23, 00:08:22, 12.30, 12.2, 12.3, 1012.80, 1012.6, 1012.8, 52.749364, -30.507505, 3294.00, 0.00, 307.20, 0.13, 237.8, 0.6, 0.00, 60.40, 60.31, 0.0, 23, 6.6, 26, 6.8, 75.800, 75.8, 75.6, 39.9804, 34.0216, 13.0454, 34.0244, 39.9804, 12.7557, 12.7557, 358.7, 1498.2095, -0.0021, 26.8, 23.6, 27.3, 6.2480, 7.1, 6.8, 61
2012/06/23, 00:09:22, 12.20, 12.2, 12.2, 1012.90, 1012.6, 1012.9, 52.749363, -30.507481, 3294.00, 0.00, 306.50, 0.11, 64.1, 0.4, 0.00, 60.40, 60.31, 0.0, 23, 5.6, 23, 5.4, 75.200, 75.2, 75.5, 39.9802, 34.0215, 13.0452, 34.0244, 39.9802, 12.7543, 12.7543, 359.3, 1498.2048, -0.0021, 21.6, 21.3, 26.7, 5.8625, 5.3, 5.5, 61
2012/06/23, 00:10:22, 12.30, 12.3, 12.3, 1012.90, 1012.6, 1012.9, 52.749364, -30.507471, 3294.00, 0.00, 304.40, 0.15, 303.9, 1.5, 0.00, 60.40, 60.31, 0.0, 24, 6.1, 28, 6.2, 76.100, 76.1, 75.9, 39.9796, 34.0227, 13.0433, 34.0255, 39.9796, 12.7529, 12.7529, 358.5, 1498.2014, -0.0021, 34.2, 29.9, 34.7, 5.4718, 6.2, 6.0, 61
2012/06/23, 00:11:22, 12.30, 12.3, 12.3, 1012.90, 1012.6, 1012.9, 52.749351, -30.507428, 3294.00, 0.00, 307.50, 0.10, 109.9, 0.8, 0.00, 60.40, 60.31, 0.0, 17, 5.6, 22, 5.5, 76.300, 76.3, 76.6, 39.9776, 34.0226, 13.0413, 34.0254, 39.9776, 12.7512, 12.7512, 359.3, 1498.1955, -0.0020, 17.8, 12.6, 23.7, 5.6369, 5.5, 5.6, 61
2012/06/23, 00:12:22, 12.30, 12.3, 12.3, 1012.90, 1012.7, 1012.9, 52.749362, -30.507407, 3294.00, 0.00, 307.20, 0.19, 184.9, 0.4, 0.00, 60.40, 60.31, 0.0, 21, 6.2, 22, 6.0, 76.200, 76.2, 76.1, 39.9747, 34.0222, 13.0387, 34.0250, 39.9747, 12.7497, 12.7497, 358.5, 1498.1900, -0.0021, 20.7, 19.4, 23.2, 5.5139, 6.2, 6.4, 61
2012/06/23, 00:13:22, 12.30, 12.2, 12.3, 1012.90, 1012.7, 1012.9, 52.749358, -30.507389, 3294.00, 0.00, 309.20, 0.16, 186.1, 0.2, 0.00, 60.40, 60.31, 0.0, 23, 6.0, 26, 6.3, 76.600, 76.6, 76.5, 39.9729, 34.0224, 13.0365, 34.0253, 39.9729, 12.7491, 12.7491, 358.4, 1498.1884, -0.0021, 24.8, 21.5, 24.3, 6.0830, 6.4, 6.1, 61
2012/06/23, 00:14:22, 12.30, 12.2, 12.3, 1012.90, 1012.7, 1012.9, 52.749355, -30.507373, 3294.00, 0.00, 311.60, 0.11, 315.6, 0.6, 0.00, 60.40, 60.31, 0.0, 23, 5.6, 26, 5.9, 76.700, 76.7, 76.6, 39.9721, 34.0202, 13.0381, 34.0231, 39.9721, 12.7477, 12.7477, 0.0, 1498.1811, -0.0021, 29.6, 26.4, 31.3, 5.6496, 5.8, 5.5, 61
2012/06/23, 00:15:22, 12.30, 12.2, 12.3, 1013.00, 1012.8, 1013.0, 52.749361, -30.507326, 3294.00, 0.00, 308.60, 0.16, 297.7, 0.2, 0.00, 60.40, 60.31, 0.0, 23, 5.3, 25, 5.0, 76.800, 76.8, 77.2, 39.9733, 34.0223, 13.0370, 34.0252, 39.9733, 12.7471, 12.7471, 359.4, 1498.1816, -0.0021, 26.5, 24.1, 30.2, 5.4901, 5.0, 5.3, 61
2012/06/23, 00:16:22, 12.30, 12.3, 12.3, 1012.90, 1012.6, 1012.9, 52.749359, -30.507284, 3294.00, 0.00, 309.90, 0.15, 40.7, 0.1, 0.00, 60.40, 60.31, 0.0, 22, 6.1, 25, 6.3, 77.400, 77.4, 77.1, 39.9730, 34.0219, 13.0372, 34.0247, 39.9730, 12.7467, 12.7467, 359.9, 1498.1796, -0.0020, 25.5, 22.2, 29.3, 4.8850, 6.3, 6.1, 61
2012/06/23, 00:17:22, 12.20, 12.2, 12.2, 1012.90, 1012.7, 1012.9, 52.749356, -30.507237, 3294.00, 0.00, 307.20, 0.09, 232.6, 1.2, 0.00, 60.40, 60.31, 0.0, 18, 5.3, 22, 5.6, 77.100, 77.1, 77.2, 39.9712, 34.0201, 13.0374, 34.0228, 39.9712, 12.7464, 12.7464, 358.5, 1498.1764, -0.0021, 24.2, 20.4, 29.6, 6.1301, 6.1, 5.8, 61
2012/06/23, 00:18:22, 12.30, 12.2, 12.3, 1012.90, 1012.7, 1012.9, 52.749360, -30.507202, 3294.00, 0.00, 306.50, 0.14, 100.4, 1.0, 0.00, 60.40, 60.31, 0.0, 17, 5.6, 20, 5.5, 77.800, 77.8, 77.3, 39.9708, 34.0208, 13.0362, 34.0235, 39.9708, 12.7452, 12.7452, 359.1, 1498.1732, -0.0021, 14.7, 11.5, 20.6, 4.9162, 5.4, 5.6, 61
2012/06/23, 00:19:22, 12.20, 12.2, 12.2, 1012.90, 1012.7, 1012.9, 52.749365, -30.507193, 3294.00, 0.00, 309.20, 0.16, 19.7, 1.0, 0.00, 60.40, 60.31, 0.0, 15, 5.5, 17, 5.7, 77.600, 77.6, 77.7, 39.9712, 34.0172, 13.0406, 34.0200, 39.9712, 12.7441, 12.7441, 359.8, 1498.1653, -0.0021, 17.3, 14.7, 22.6, 4.7472, 5.2, 5.0, 61
2012/06/23, 00:20:22, 12.20, 12.2, 12.2, 1013.00, 1012.7, 1013.0, 52.749356, -30.507134, 3294.00, 0.00, 308.00, 0.16, 76.0, 0.3, 0.00, 60.40, 60.31, 0.0, 16, 5.8, 19, 6.2, 77.600, 77.6, 77.9, 39.9747, 34.0209, 13.0402, 34.0236, 39.9747, 12.7432, 12.7432, 359.2, 1498.1666, -0.0021, 17.7, 14.2, 16.0, 5.1650, 6.1, 5.7, 61
2012/06/23, 00:21:22, 12.20, 12.2, 12.2, 1013.00, 1012.7, 1013.0, 52.749353, -30.507093, 3294.00, 0.00, 309.20, 0.14, 63.4, 0.2, 0.00, 60.40, 60.31, 0.0, 17, 6.7, 21, 7.1, 78.100, 78.1, 77.8, 39.9721, 34.0207, 13.0376, 34.0235, 39.9721, 12.7415, 12.7415, 359.7, 1498.1607, -0.0021, 20.9, 16.4, 19.1, 5.2500, 7.0, 6.6, 61
2012/06/23, 00:22:22, 12.20, 12.2, 12.2, 1012.90, 1012.7, 1012.9, 52.749356, -30.507071, 3294.00, 0.00, 309.90, 0.16, 327.7, 0.7, 0.00, 60.40, 60.31, 0.0, 25, 6.0, 28, 6.2, 77.800, 77.8, 77.9, 39.9718, 34.0210, 13.0370, 34.0238, 39.9718, 12.7414, 12.7414, 359.1, 1498.1608, -0.0021, 30.7, 27.4, 25.5, 5.5255, 6.0, 5.8, 61
2012/06/23, 00:23:22, 12.20, 12.2, 12.2, 1012.90, 1012.8, 1012.9, 52.749359, -30.507067, 3294.00, 0.00, 311.60, 0.14, 59.0, 0.7, 0.00, 60.40, 60.31, 0.0, 19, 6.3, 23, 6.4, 78.300, 78.3, 77.6, 39.9706, 34.0207, 13.0360, 34.0235, 39.9706, 12.7408, 12.7408, 359.8, 1498.1584, -0.0020, 21.7, 17.1, 24.4, 5.3701, 6.1, 6.0, 61
2012/06/23, 00:24:22, 12.20, 12.2, 12.2, 1012.90, 1012.7, 1012.9, 52.749358, -30.507068, 3294.00, 0.00, 306.50, 0.18, 93.1, 0.1, 0.00, 60.40, 60.31, 0.0, 21, 6.1, 26, 6.0, 76.900, 76.9, 77.1, 39.9689, 34.0191, 13.0360, 34.0219, 39.9689, 12.7409, 12.7409, 359.8, 1498.1568, -0.0020, 26.1, 20.7, 25.6, 5.5236, 6.0, 6.1, 61
2012/06/23, 00:25:22, 12.20, 12.2, 12.2, 1012.90, 1012.7, 1012.9, 52.749366, -30.507077, 3294.00, 0.00, 306.20, 0.21, 214.5, 0.7, 0.00, 60.40, 60.31, 0.0, 23, 5.8, 24, 5.3, 77.500, 77.5, 77.0, 39.9700, 34.0180, 13.0384, 34.0208, 39.9700, 12.7410, 12.7410, 358.6, 1498.1559, -0.0021, 24.0, 22.7, 27.0, 5.9865, 5.6, 6.1, 61
2012/06/23, 00:26:22, 12.20, 12.2, 12.2, 1012.90, 1012.7, 1012.9, 52.749359, -30.507095, 3294.00, 0.00, 308.90, 0.07, 237.6, 0.8, 0.00, 60.40, 60.31, 0.0, 22, 6.0, 25, 6.5, 77.100, 77.1, 76.9, 39.9739, 34.0212, 13.0389, 34.0241, 39.9739, 12.7404, 12.7404, 0.5, 1498.1578, -0.0021, 28.0, 25.0, 29.5, 6.0530, 6.8, 6.3, 61
2012/06/23, 00:27:22, 12.20, 12.2, 12.2, 1012.90, 1012.7, 1012.9, 52.749358, -30.507095, 3294.00, 0.00, 308.00, 0.16, 245.1, 0.2, 0.00, 60.40, 60.31, 0.0, 24, 6.2, 29, 6.5, 76.900, 76.9, 76.9, 39.9731, 34.0210, 13.0383, 34.0238, 39.9731, 12.7394, 12.7394, 359.6, 1498.1540, -0.0021, 29.9, 24.6, 28.2, 5.6608, 6.6, 6.3, 61
2012/06/23, 00:28:22, 12.20, 12.2, 12.2, 1013.00, 1012.7, 1013.0, 52.749354, -30.507120, 3294.00, 0.00, 308.60, 0.05, 339.3, 0.3, 0.00, 60.40, 60.31, 0.0, 22, 5.5, 23, 5.4, 76.600, 76.6, 77.3, 39.9733, 34.0213, 13.0381, 34.0242, 39.9733, 12.7393, 12.7393, 359.5, 1498.1542, -0.0021, 24.5, 23.1, 29.0, 5.6898, 5.3, 5.4, 61
2012/06/23, 00:29:22, 12.30, 12.2, 12.3, 1012.90, 1012.7, 1012.9, 52.749367, -30.507113, 3294.00, 0.00, 311.30, 0.12, 105.3, 0.7, 0.00, 60.40, 60.31, 0.0, 21, 6.1, 23, 6.4, 77.700, 77.7, 77.3, 39.9719, 34.0200, 13.0381, 34.0229, 39.9719, 12.7392, 12.7392, 359.6, 1498.1523, -0.0020, 20.2, 17.7, 23.5, 5.2249, 6.4, 6.1, 61
