R/V Knorr Calliope CSV data file  (Time stamps are GMT)
Date, Time_GMT, AT, WXTP_Ta, WXTS_Ta, BPR, WXTP_Pa, WXTS_Pa, Dec_Lat, Dec_Lon, Depth12, Depth35, FLR, SPD, COG, SOG, WXTS_Ri, WXTP_Rc, WXTS_Rc, WXTP_Ri, WXTS_Dm, WXTS_Sm, WXTP_Dm, WXTP_Sm, HRH, WXTP_Ua, WXTS_Ua, SBE45C, SBE45S, SBE45T, Salinity, SSCND, SSTMP, SBE48T, HDT, SSV, SPAR, WXTP_TD, WXTS_TD, Wnd_TD, Wnd_TS, WXTP_TS, WXTS_TS, HdChkSum=61
2012/06/25, 00:00:22, 12.80, 12.8, 12.8, 1017.40, 1017.4, 1017.4, 53.358465, -31.117586, 3263.00, 0.00, 210.40, 0.29, 340.0, 0.7, 0.00, 60.40, 60.31, 0.0, 349, 5.0, 353, 4.9, 84.500, 84.5, 84.2, 40.0452, 33.7912, 13.3719, 33.7941, 40.0452, 13.0920, 13.0920, 44.2, 1499.0602, -0.0020, 41.8, 37.2, 37.5, 4.5905, 4.7, 4.8, 61
2012/06/25, 00:01:22, 12.80, 12.8, 12.8, 1017.50, 1017.3, 1017.5, 53.358656, -31.117628, 3263.00, 0.00, 209.80, 0.22, 339.7, 0.7, 0.00, 60.40, 60.31, 0.0, 346, 5.4, 350, 5.4, 84.600, 84.6, 84.4, 40.0405, 33.7870, 13.3717, 33.7899, 40.0405, 13.1003, 13.1003, 44.2, 1499.0829, -0.0020, 38.3, 33.8, 39.7, 4.7557, 5.2, 5.2, 61
2012/06/25, 00:02:22, 12.80, 12.8, 12.8, 1017.40, 1017.3, 1017.4, 53.358846, -31.117694, 3267.00, 0.00, 222.00, 0.20, 355.4, 0.8, 0.00, 60.40, 60.31, 0.0, 347, 5.3, 351, 5.3, 84.600, 84.6, 84.3, 40.0454, 33.7776, 13.3875, 33.7805, 40.0454, 13.1105, 13.1105, 43.8, 1499.1057, -0.0021, 38.6, 34.0, 38.1, 4.7167, 5.0, 5.0, 61
2012/06/25, 00:03:22, 12.80, 12.8, 12.8, 1017.50, 1017.3, 1017.5, 53.359045, -31.117770, 3263.00, 0.00, 230.80, 0.26, 21.1, 0.6, 0.00, 60.40, 60.31, 0.0, 345, 5.2, 350, 5.0, 84.600, 84.6, 84.4, 40.0633, 33.7701, 13.4150, 33.7729, 40.0633, 13.1205, 13.1205, 44.4, 1499.1300, -0.0020, 36.1, 30.4, 36.4, 4.8688, 4.7, 4.9, 61
2012/06/25, 00:04:22, 12.80, 12.8, 12.8, 1017.50, 1017.4, 1017.5, 53.359227, -31.117822, 3263.00, 0.00, 246.70, 0.25, 345.8, 0.8, 0.00, 60.40, 60.31, 0.0, 347, 5.7, 352, 5.6, 84.800, 84.8, 84.5, 40.0880, 33.7707, 13.4405, 33.7735, 40.0880, 13.1299, 13.1299, 44.2, 1499.1620, -0.0020, 40.2, 34.5, 37.2, 4.7932, 5.4, 5.4, 61
2012/06/25, 00:05:22, 12.80, 12.8, 12.8, 1017.50, 1017.4, 1017.5, 53.359420, -31.117886, 3263.00, 0.00, 247.60, 0.24, 333.6, 0.7, 0.00, 60.40, 60.31, 0.0, 348, 5.2, 353, 5.3, 84.800, 84.8, 84.5, 40.1140, 33.7789, 13.4588, 33.7818, 40.1140, 13.1367, 13.1367, 44.3, 1499.1944, -0.0020, 41.9, 36.5, 40.5, 4.9154, 5.1, 5.0, 61
2012/06/25, 00:06:22, 12.80, 12.8, 12.8, 1017.50, 1017.3, 1017.5, 53.359608, -31.117955, 3263.00, 0.00, 250.00, 0.10, 35.0, 0.9, 0.00, 60.40, 60.31, 0.0, 346, 5.3, 352, 5.3, 84.900, 84.9, 84.7, 40.1316, 33.7824, 13.4735, 33.7853, 40.1316, 13.1421, 13.1421, 44.2, 1499.2165, -0.0020, 37.2, 30.2, 32.1, 4.4463, 4.8, 4.8, 61
2012/06/25, 00:07:22, 12.80, 12.8, 12.8, 1017.50, 1017.4, 1017.5, 53.359801, -31.118002, 3263.00, 0.00, 248.60, 0.24, 92.8, 0.3, 0.00, 60.40, 60.31, 0.0, 347, 5.9, 353, 6.0, 85.000, 85.0, 84.8, 40.1409, 33.7856, 13.4798, 33.7884, 40.1409, 13.1463, 13.1463, 44.0, 1499.2341, -0.0020, 36.5, 30.0, 31.4, 4.8835, 5.9, 5.8, 61
2012/06/25, 00:08:22, 12.80, 12.8, 12.8, 1017.40, 1017.3, 1017.4, 53.359999, -31.118046, 3263.00, 0.00, 246.00, 0.29, 12.2, 0.8, 0.00, 60.40, 60.31, 0.0, 350, 5.0, 354, 5.0, 85.000, 85.0, 84.9, 40.1463, 33.7905, 13.4799, 33.7934, 40.1463, 13.1492, 13.1492, 44.2, 1499.2497, -0.0020, 41.2, 36.5, 35.6, 4.8743, 4.6, 4.6, 61
2012/06/25, 00:09:22, 12.80, 12.8, 12.8, 1017.30, 1017.3, 1017.3, 53.360188, -31.118091, 3264.00, 0.00, 248.60, 0.32, 317.0, 1.4, 0.00, 60.40, 60.31, 0.0, 348, 5.4, 354, 5.4, 85.200, 85.2, 84.9, 40.1445, 33.7887, 13.4800, 33.7916, 40.1445, 13.1509, 13.1509, 44.0, 1499.2532, -0.0020, 46.4, 40.0, 41.7, 4.9168, 5.3, 5.3, 61
