R/V Knorr Calliope CSV data file  (Time stamps are GMT)
Date, Time_GMT, AT, WXTP_Ta, WXTS_Ta, BPR, WXTP_Pa, WXTS_Pa, Dec_Lat, Dec_Lon, Depth12, Depth35, FLR, SPD, COG, SOG, WXTS_Ri, WXTP_Rc, WXTS_Rc, WXTP_Ri, WXTS_Dm, WXTS_Sm, WXTP_Dm, WXTP_Sm, HRH, WXTP_Ua, WXTS_Ua, SBE45C, SBE45S, SBE45T, Salinity, SSCND, SSTMP, SBE48T, HDT, SSV, SPAR, WXTP_TD, WXTS_TD, Wnd_TD, Wnd_TS, WXTP_TS, WXTS_TS, HdChkSum=61
2012/06/21, 00:00:22, 13.20, 13.2, 13.2, 1019.70, 1019.5, 1019.7, 47.204606, -28.481118, 2755.00, 0.00, 337.20, 9.85, 346.3, 9.8, 0.00, 52.47, 52.25, 0.0, 335, 8.0, 339, 7.5, 66.400, 66.4, 66.9, 42.6560, 34.7613, 15.0002, 34.7645, 42.6560, 14.7940, 14.7940, 350.2, 1505.7362, -0.0021, 302.3, 297.4, 290.1, 3.0353, 3.0, 3.8, 61
2012/06/21, 00:01:22, 13.20, 13.2, 13.2, 1019.70, 1019.4, 1019.7, 47.207304, -28.481844, 2766.00, 0.00, 341.40, 10.07, 348.2, 10.1, 0.00, 52.47, 52.25, 0.0, 335, 8.0, 339, 7.6, 65.800, 65.8, 66.3, 42.6526, 34.7586, 14.9998, 34.7618, 42.6526, 14.7900, 14.7900, 349.1, 1505.7203, -0.0021, 296.2, 291.6, 289.0, 2.9972, 3.2, 3.8, 61
2012/06/21, 00:02:22, 13.20, 13.2, 13.2, 1019.70, 1019.4, 1019.6, 47.209922, -28.482562, 2872.00, 0.00, 341.70, 10.02, 353.3, 8.5, 0.00, 52.47, 52.25, 0.0, 331, 7.3, 336, 7.3, 66.300, 66.3, 66.4, 42.6495, 34.7652, 14.9891, 34.7685, 42.6495, 14.7868, 14.7868, 351.6, 1505.7180, -0.0021, 299.2, 290.8, 305.7, 3.8295, 3.8, 4.1, 61
2012/06/21, 00:03:22, 13.20, 13.3, 13.2, 1019.80, 1019.5, 1019.6, 47.212606, -28.483254, 2709.00, 0.00, 344.80, 10.01, 349.7, 7.9, 0.00, 52.47, 52.25, 0.0, 339, 7.9, 344, 7.6, 66.600, 66.6, 65.8, 42.6436, 34.7655, 14.9828, 34.7687, 42.6436, 14.7843, 14.7843, 349.6, 1505.7102, -0.0021, 318.2, 309.8, 303.0, 3.7173, 3.8, 4.4, 61
2012/06/21, 00:04:22, 13.20, 13.2, 13.2, 1019.70, 1019.5, 1019.6, 47.215147, -28.483888, 2703.00, 0.00, 347.30, 9.81, 351.2, 8.7, 0.00, 52.47, 52.25, 0.0, 342, 8.3, 343, 7.6, 65.300, 65.3, 66.6, 42.6376, 34.7639, 14.9785, 34.7671, 42.6376, 14.7818, 14.7818, 349.4, 1505.7004, -0.0021, 310.9, 312.0, 301.8, 3.5429, 3.6, 4.4, 61
2012/06/21, 00:05:22, 13.20, 13.2, 13.2, 1019.60, 1019.3, 1019.6, 47.217729, -28.484644, 2727.00, 0.00, 351.20, 10.06, 351.8, 9.6, 0.00, 52.47, 52.25, 0.0, 339, 8.1, 343, 8.0, 64.900, 64.9, 65.2, 42.6310, 34.7520, 14.9851, 34.7552, 42.6310, 14.7789, 14.7789, 349.9, 1505.6773, -0.0021, 308.6, 301.1, 299.5, 2.9830, 3.6, 4.0, 61
2012/06/21, 00:06:22, 13.20, 13.2, 13.2, 1019.60, 1019.3, 1019.6, 47.220330, -28.485450, 2860.00, 0.00, 354.50, 10.00, 348.8, 7.7, 0.00, 52.47, 52.25, 0.0, 336, 8.1, 341, 8.0, 65.300, 65.3, 65.2, 42.6288, 34.7548, 14.9797, 34.7580, 42.6288, 14.7760, 14.7760, 349.9, 1505.6714, -0.0020, 316.3, 307.6, 320.3, 3.9571, 4.4, 4.7, 61
2012/06/21, 00:07:22, 13.20, 13.2, 13.2, 1019.60, 1019.2, 1019.6, 47.222824, -28.486182, 2873.00, 0.00, 353.40, 9.27, 349.8, 9.4, 0.00, 52.47, 52.25, 0.0, 334, 7.5, 337, 7.5, 66.100, 66.1, 65.1, 42.6299, 34.7579, 14.9774, 34.7610, 42.6299, 14.7732, 14.7732, 348.8, 1505.6660, -0.0021, 294.7, 289.0, 302.3, 3.4606, 3.6, 3.8, 61
2012/06/21, 00:08:22, 13.20, 13.2, 13.2, 1019.60, 1019.4, 1019.4, 47.225250, -28.486974, 2931.00, 0.00, 355.20, 9.42, 347.0, 9.4, 0.00, 52.47, 52.25, 0.0, 329, 7.4, 333, 7.4, 66.100, 66.1, 65.7, 42.6273, 34.7598, 14.9726, 34.7629, 42.6273, 14.7709, 14.7709, 350.9, 1505.6609, -0.0021, 292.5, 285.1, 301.6, 2.8172, 3.5, 3.8, 61
2012/06/21, 00:09:22, 13.20, 13.2, 13.2, 1019.70, 1019.6, 1019.4, 47.227766, -28.487713, 2973.00, 0.00, 354.50, 9.39, 346.6, 9.4, 0.00, 52.47, 52.25, 0.0, 337, 7.9, 341, 7.4, 65.600, 65.6, 67.3, 42.6265, 34.7589, 14.9727, 34.7621, 42.6265, 14.7706, 14.7706, 350.1, 1505.6590, -0.0021, 307.7, 302.3, 289.7, 3.2900, 3.0, 3.7, 61
2012/06/21, 00:10:22, 13.20, 13.2, 13.2, 1019.40, 1019.4, 1019.6, 47.230351, -28.488439, 3017.00, 0.00, 356.80, 10.04, 345.6, 11.1, 0.00, 52.47, 52.25, 0.0, 339, 7.5, 340, 7.1, 66.000, 66.0, 66.9, 42.6245, 34.7580, 14.9718, 34.7611, 42.6245, 14.7739, 14.7739, 348.8, 1505.6683, -0.0020, 285.2, 288.5, 275.8, 2.5889, 2.3, 2.7, 61
