R/V Knorr Calliope CSV data file  (Time stamps are GMT)
Date, Time_GMT, AT, WXTP_Ta, WXTS_Ta, BPR, WXTP_Pa, WXTS_Pa, Dec_Lat, Dec_Lon, Depth12, Depth35, FLR, SPD, COG, SOG, WXTS_Ri, WXTP_Rc, WXTS_Rc, WXTP_Ri, WXTS_Dm, WXTS_Sm, WXTP_Dm, WXTP_Sm, HRH, WXTP_Ua, WXTS_Ua, SBE45C, SBE45S, SBE45T, Salinity, SSCND, SSTMP, SBE48T, HDT, SSV, SPAR, WXTP_TD, WXTS_TD, Wnd_TD, Wnd_TS, WXTP_TS, WXTS_TS, HdChkSum=61
2012/06/15, 00:00:22, 19.70, 19.7, 19.7, 1021.80, 1021.8, 1021.8, 37.737590, -25.662795, , , 69.60, 0.08, 285.3, 0.0, 0.00, 41.70, 41.62, 0.0, 19, 4.5, 24, 4.4, 90.700, 90.7, 90.2, 51.1547, 35.8377, 22.1241, 35.8421, 51.1547, 18.0406, 18.0406, 239.0, 1516.8513, -0.0022, 263.7, 258.3, 270.1, 4.3824, 4.4, 4.5, 61
2012/06/15, 00:01:22, 19.70, 19.7, 19.7, 1021.80, 1021.8, 1021.8, 37.737586, -25.662796, , , 69.90, 0.07, 330.6, 0.1, 0.00, 41.70, 41.62, 0.0, 31, 3.7, 39, 4.3, 90.600, 90.6, 90.2, 51.1494, 35.8335, 22.1241, 35.8379, 51.1494, 18.0407, 18.0407, 239.2, 1516.8468, -0.0022, 278.6, 270.1, 270.6, 3.9696, 4.3, 3.7, 61
2012/06/15, 00:02:22, 19.70, 19.7, 19.7, 1021.80, 1021.8, 1021.8, 37.737589, -25.662795, , , 69.20, 0.05, 0.0, 0.1, 0.00, 41.70, 41.62, 0.0, 30, 4.5, 28, 4.4, 90.600, 90.6, 90.1, 51.1446, 35.8424, 22.1088, 35.8468, 51.1446, 18.0422, 18.0422, 239.1, 1516.8613, -0.0022, 267.5, 269.2, 274.5, 4.1968, 4.4, 4.5, 61
2012/06/15, 00:03:22, 19.70, 19.7, 19.7, 1021.80, 1021.8, 1021.7, 37.737589, -25.662796, , , 69.90, 0.23, 195.9, 0.0, 0.00, 41.70, 41.62, 0.0, 30, 5.6, 34, 5.5, 90.600, 90.6, 90.1, 51.1391, 35.8388, 22.1079, 35.8432, 51.1391, 18.0444, 18.0444, 239.0, 1516.8636, -0.0022, 273.9, 269.5, 272.3, 4.1303, 5.5, 5.6, 61
2012/06/15, 00:04:22, 19.70, 19.7, 19.7, 1021.70, 1021.8, 1021.8, 37.737587, -25.662796, , , 69.60, -0.03, 198.4, 0.0, 0.00, 41.70, 41.62, 0.0, 28, 3.2, 32, 3.2, 90.600, 90.6, 90.1, 51.1344, 35.8337, 22.1096, 35.8381, 51.1344, 18.0444, 18.0444, 239.0, 1516.8578, -0.0022, 271.9, 267.6, 278.4, 4.2120, 3.2, 3.2, 61
2012/06/15, 00:05:22, 19.70, 19.7, 19.7, 1021.80, 1021.8, 1021.8, 37.737591, -25.662795, , , 70.10, -0.11, 147.5, 0.1, 0.00, 41.70, 41.62, 0.0, 29, 4.1, 32, 4.2, 90.500, 90.5, 90.1, 51.1292, 35.8339, 22.1044, 35.8383, 51.1292, 18.0438, 18.0438, 239.1, 1516.8563, -0.0022, 272.1, 268.8, 272.0, 3.8371, 4.2, 4.1, 61
2012/06/15, 00:06:22, 19.70, 19.7, 19.7, 1021.80, 1021.8, 1021.8, 37.737587, -25.662797, , , 69.20, -0.25, 271.3, 0.1, 0.00, 41.70, 41.62, 0.0, 27, 4.9, 33, 4.9, 90.600, 90.6, 90.1, 51.1252, 35.8346, 22.0998, 35.8389, 51.1252, 18.0431, 18.0431, 239.1, 1516.8549, -0.0022, 272.9, 266.5, 270.1, 4.7540, 4.9, 4.9, 61
2012/06/15, 00:07:22, 19.70, 19.7, 19.7, 1021.80, 1021.8, 1021.8, 37.737588, -25.662798, , , 68.90, -0.16, 313.4, 0.1, 0.00, 41.70, 41.62, 0.0, 27, 4.5, 29, 4.0, 90.600, 90.6, 90.1, 51.1196, 35.8383, 22.0899, 35.8427, 51.1196, 18.0421, 18.0421, 239.2, 1516.8563, -0.0022, 268.5, 266.2, 275.0, 4.6080, 4.0, 4.5, 61
2012/06/15, 00:08:22, 19.70, 19.7, 19.7, 1021.80, 1021.8, 1021.7, 37.737587, -25.662799, , , 68.60, 0.24, 138.0, 0.0, 0.00, 41.70, 41.62, 0.0, 18, 4.0, 21, 4.1, 90.500, 90.5, 90.1, 51.1140, 35.8362, 22.0872, 35.8405, 51.1140, 18.0421, 18.0421, 239.5, 1516.8538, -0.0022, 261.4, 258.1, 272.6, 3.9523, 4.1, 4.0, 61
2012/06/15, 00:09:22, 19.70, 19.7, 19.7, 1021.70, 1021.8, 1021.7, 37.737588, -25.662798, , , 69.60, 0.05, 313.7, 0.1, 0.00, 41.70, 41.62, 0.0, 33, 4.6, 37, 5.3, 90.500, 90.5, 90.0, 51.1105, 35.8463, 22.0716, 35.8507, 51.1105, 18.0432, 18.0432, 239.3, 1516.8686, -0.0022, 276.9, 272.5, 273.5, 3.5934, 5.3, 4.6, 61
