Determination start,Oxygen(mL/L),Cruise,CTD#,Oxy bottle,Bottle case,bottle volume,blank,Avg Thio Volume,Avg normality of thio,,depth,
2012-04-23 11:15:37 UTC-4,6.244,KN207-1,12,K3,K,149,0,4.327625,0.01032,,30,
2012-04-23 11:18:16 UTC-4,6.232,KN207-1,12,K3,K,149,0,4.327625,0.01032,,30,
2012-04-23 11:21:00 UTC-4,6.716,KN207-1,12,K4,K,149,0,4.327625,0.01032,,20,
2012-04-23 11:24:00 UTC-4,6.711,KN207-1,12,K4,K,149,0,4.327625,0.01032,,20,
2012-04-23 11:26:50 UTC-4,6.629,KN207-1,12,K5,K,149,0,4.327625,0.01032,,12,
2012-04-23 11:30:06 UTC-4,6.623,KN207-1,12,K5,K,149,0,4.327625,0.01032,,12,
2012-04-23 11:33:15 UTC-4,6.759,KN207-1,12,K6,K,149,0,4.327625,0.01032,,7,
2012-04-23 11:35:45 UTC-4,6.76,KN207-1,12,K6,K,149,0,4.327625,0.01032,,7,
2012-04-24 00:06:47 UTC-4,6.459,KN207-1,17,K11,K,149,0,4.327625,0.01032,,20,
2012-04-24 00:03:55 UTC-4,6.474,KN207-1,17,K11,K,149,0,4.327625,0.01032,,20,
2012-04-24 00:00:19 UTC-4,6.474,KN207-1,17,K13,K,149,0,4.327625,0.01032,,6,
2012-04-23 23:57:21 UTC-4,6.488,KN207-1,17,K13,K,149,0,4.327625,0.01032,,6,
2012-04-23 23:53:44 UTC-4,6.49,KN207-1,17,K12,K,149,0,4.327625,0.01032,,12,
2012-04-23 23:51:08 UTC-4,6.505,KN207-1,17,K12,K,149,0,4.327625,0.01032,,12,
2012-04-23 23:45:57 UTC-4,6.617,KN207-1,17,K10,K,149,0,4.327625,0.01032,,38,
2012-04-23 23:42:40 UTC-4,6.627,KN207-1,17,K10,K,149,0,4.327625,0.01032,,38,
2012-04-23 23:28:28 UTC-4,5.826,KN207-1,17,K9,K,149,0,4.327625,0.01032,,60,
2012-04-23 23:25:53 UTC-4,5.828,KN207-1,17,K9,K,149,0,4.327625,0.01032,,60,
2012-04-23 23:21:52 UTC-4,4.374,KN207-1,17,K8,K,149,0,4.327625,0.01032,,150,
2012-04-23 23:19:08 UTC-4,4.402,KN207-1,17,K8,K,149,0,4.327625,0.01032,,150,
2012-04-24 13:38:56 UTC-4,6.541,KN207-1,19,K20,K,149,0,4.33055,0.01031,,5,
2012-04-24 13:35:53 UTC-4,6.554,KN207-1,19,K20,K,149,0,4.33055,0.01031,,5,
2012-04-24 13:32:45 UTC-4,6.571,KN207-1,19,K19,K,149,0,4.33055,0.01031,,10,
2012-04-24 13:30:06 UTC-4,6.572,KN207-1,19,K19,K,149,0,4.33055,0.01031,,10,
2012-04-24 13:27:19 UTC-4,6.585,KN207-1,19,K18,K,149,0,4.33055,0.01031,,20,
2012-04-24 13:24:00 UTC-4,6.598,KN207-1,19,K18,K,149,0,4.33055,0.01031,,20,
2012-04-24 13:21:07 UTC-4,6.605,KN207-1,19,K17,K,149,0,4.33055,0.01031,,30,
2012-04-24 13:18:29 UTC-4,6.619,KN207-1,19,K17,K,149,0,4.33055,0.01031,,30,
2012-04-24 13:13:17 UTC-4,6.252,KN207-1,19,K16,K,149,0,4.33055,0.01031,,45,
2012-04-24 13:10:21 UTC-4,6.254,KN207-1,19,K16,K,149,0,4.33055,0.01031,,45,
2012-04-24 13:07:07 UTC-4,4.522,KN207-1,19,K15,K,149,0,4.33055,0.01031,,150,
2012-04-24 13:03:33 UTC-4,4.526,KN207-1,19,K15,K,149,0,4.33055,0.01031,,150,
2012-04-24 23:57:41 UTC-4,6.554,KN207,26,K27,K,149,0,4.33055,0.01031,,5,
2012-04-24 23:55:11 UTC-4,6.559,KN207,26,K27,K,149,0,4.33055,0.01031,,5,
2012-04-24 23:52:24 UTC-4,6.542,KN207,26,K26,K,149,0,4.33055,0.01031,,10,
2012-04-24 23:49:37 UTC-4,6.562,KN207,26,K26,K,149,0,4.33055,0.01031,,10,
2012-04-24 23:45:38 UTC-4,6.653,KN207,26,K25,K,149,0,4.33055,0.01031,,18,
2012-04-24 23:42:34 UTC-4,6.651,KN207,26,K25,K,149,0,4.33055,0.01031,,18,
2012-04-24 23:39:45 UTC-4,6.589,KN207,26,K24,K,149,0,4.33055,0.01031,,27,
2012-04-24 23:36:56 UTC-4,6.511,KN207,26,K24,K,149,0,4.33055,0.01031,,27,
2012-04-24 23:34:03 UTC-4,6.152,KN207,26,K23,K,149,0,4.33055,0.01031,,30,
2012-04-24 23:31:20 UTC-4,6.163,KN207,26,K23,K,149,0,4.33055,0.01031,,30,
2012-04-24 23:27:13 UTC-4,5.194,KN207,26,K22,K,149,0,4.33055,0.01031,,150,
2012-04-24 23:24:32 UTC-4,5.215,KN207,26,K22,K,149,0,4.33055,0.01031,,150,
2012-04-25 14:24:48 UTC-4,6.578,KN207,28,E6,E,148.9,0,4.3384,0.01029,,5,"Sample volume incorrect, should be 148.4"
2012-04-25 14:21:27 UTC-4,6.58,KN207,28,E6,E,148.9,0,4.3384,0.01029,,5,"Sample volume incorrect, should be 148.4"
