Date, Time_GMT, Unixtime, Lat, NS, Lon, EW, Gyro, AzRel, AzTrue, El, Cr, DacAgc, Thresh, PolAng, DacMHz, DacKHz, NID, Aux, DacStatus, RemLocal, EbNo, MdmAgc, MdmMGC
2012/07/13, 00:00:03, 1342137603.59, 64.7, N,  29.0, W,  63.6, 142.9, 206.6, 16.1, 90.0, 1794, 1119,  73,  66, 242,    0, 1694, KH@@, HG,  4.8, 45.0,  065.54500096.0005320115.013066.24250512.0005320130000.11100510010000000003.010
2012/07/13, 00:01:04, 1342137664.35, 64.7, N,  29.0, W,  64.8, 141.8, 206.6, 16.1, 89.9, 1768, 1119,  73,  66, 242,    0, 1692, KH@@, HG,  4.3, 44.0,  065.54500096.0005320115.013066.24250512.0005320130000.11100510010000000003.010
2012/07/13, 00:02:04, 1342137724.18, 64.7, N,  29.0, W,  63.3, 143.7, 206.7, 16.0, 89.9, 1786, 1119,  73,  66, 242,    0, 1693, KH@@, HG,  4.8, 45.0,  065.54500096.0005320115.013066.24250512.0005320130000.11100510010000000003.010
2012/07/13, 00:03:03, 1342137783.90, 64.7, N,  29.0, W,  64.8, 141.9, 206.5, 16.1, 90.0, 1783, 1119,  73,  66, 242,    0, 1692, KH@@, HG,  4.6, 44.0,  065.54500096.0005320115.013066.24250512.0005320130000.11100510010000000003.010
2012/07/13, 00:04:03, 1342137843.59, 64.7, N,  29.0, W,  61.3, 145.8, 206.8, 15.7, 89.8, 1794, 1119,  73,  66, 242,    0, 1691, KH@@, HG,  4.8, 44.0,  065.54500096.0005320115.013066.24250512.0005320130000.11100510010000000003.010
2012/07/13, 00:05:04, 1342137904.41, 64.7, N,  29.0, W,  61.3, 145.3, 206.7, 16.0, 89.8, 1809, 1119,  73,  66, 242,    0, 1691, KH@@, HG,  4.9, 44.0,  065.54500096.0005320115.013066.24250512.0005320130000.11100510010000000003.010
2012/07/13, 00:06:04, 1342137964.13, 64.7, N,  29.0, W,  61.6, 144.9, 206.8, 16.3, 89.9, 1789, 1119,  73,  66, 242,    0, 1692, KH@@, HG,  4.8, 44.0,  065.54500096.0005320115.013066.24250512.0005320130000.11100510010000000003.010
2012/07/13, 00:07:03, 1342138023.96, 64.7, N,  29.0, W,  62.0, 145.2, 206.6, 15.6, 89.8, 1785, 1119,  73,  66, 242,    0, 1693, KH@@, HG,  4.2, 44.0,  065.54500096.0005320115.013066.24250512.0005320130000.11100510010000000003.010
2012/07/13, 00:08:03, 1342138083.73, 64.7, N,  28.9, W,  61.3, 145.2, 206.7, 16.0, 89.8, 1791, 1119,  73,  66, 242,    0, 1691, KH@@, HG,  4.5, 44.0,  065.54500096.0005320115.013066.24250512.0005320130000.11100510010000000003.010
2012/07/13, 00:09:03, 1342138143.42, 64.7, N,  28.9, W,  63.6, 143.2, 206.8, 16.0, 90.0, 1799, 1119,  73,  66, 242,    0, 1691, KH@@, HG,  4.9, 44.0,  065.54500096.0005320115.013066.24250512.0005320130000.11100510010000000003.010
2012/07/13, 00:10:04, 1342138204.19, 64.7, N,  28.9, W,  62.9, 143.8, 206.7, 16.2, 90.0, 1794, 1119,  73,  66, 242,    0, 1692, KH@@, HG,  4.6, 44.0,  065.54500096.0005320115.013066.24250512.0005320130000.11100510010000000003.010
2012/07/13, 00:11:03, 1342138263.91, 64.7, N,  28.9, W,  62.9, 143.7, 206.8, 16.0, 89.9, 1784, 1119,  73,  66, 242,    0, 1692, KH@@, HG,  4.9, 44.0,  065.54500096.0005320115.013066.24250512.0005320130000.11100510010000000003.010
2012/07/13, 00:12:03, 1342138323.65, 64.7, N,  28.9, W,  62.4, 144.4, 207.0, 16.2, 90.0, 1794, 1119,  73,  66, 242,    0, 1690, KH@@, HG,  4.8, 44.0,  065.54500096.0005320115.013066.24250512.0005320130000.11100510010000000003.010
2012/07/13, 00:13:04, 1342138384.38, 64.7, N,  28.9, W,  63.3, 143.3, 206.8, 16.1, 89.9, 1793, 1119,  73,  66, 242,    0, 1691, KH@@, HG,  4.7, 44.0,  065.54500096.0005320115.013066.24250512.0005320130000.11100510010000000003.010
2012/07/13, 00:14:04, 1342138444.12, 64.7, N,  28.9, W,  62.1, 144.4, 206.9, 16.3, 90.0, 1789, 1119,  73,  66, 242,    0, 1693, KH@@, HG,  4.6, 44.0,  065.54500096.0005320115.013066.24250512.0005320130000.11100510010000000003.010
2012/07/13, 00:15:03, 1342138503.89, 64.7, N,  28.9, W,  63.6, 143.5, 206.8, 16.1, 90.0, 1793, 1119,  73,  66, 242,    0, 1690, KH@@, HG,  4.5, 44.0,  065.54500096.0005320115.013066.24250512.0005320130000.11100510010000000003.010
2012/07/13, 00:16:03, 1342138563.70, 64.7, N,  28.9, W,  62.8, 144.1, 206.9, 16.0, 90.0, 1785, 1119,  73,  66, 242,    0, 1692, KH@@, HG,  4.6, 44.0,  065.54500096.0005320115.013066.24250512.0005320130000.11100510010000000003.010
2012/07/13, 00:17:04, 1342138624.44, 64.7, N,  28.9, W,  62.3, 144.3, 206.9, 16.1, 89.9, 1799, 1119,  73,  66, 242,    0, 1692, KH@@, HG,  4.7, 44.0,  065.54500096.0005320115.013066.24250512.0005320130000.11100510010000000003.010
2012/07/13, 00:18:04, 1342138684.16, 64.7, N,  28.9, W,  63.1, 143.5, 206.8, 16.3, 90.0, 1795, 1119,  73,  66, 242,    0, 1693, KH@@, HG,  4.7, 44.0,  065.54500096.0005320115.013066.24250512.0005320130000.11100510010000000003.010
2012/07/13, 00:19:03, 1342138743.99, 64.7, N,  28.9, W,  62.3, 144.8, 206.8, 15.9, 89.9, 1792, 1119,  73,  66, 242,    0, 1695, KH@@, HG,  4.5, 44.0,  065.54500096.0005320115.013066.24250512.0005320130000.11100510010000000003.010
2012/07/13, 00:20:03, 1342138803.80, 64.7, N,  28.9, W,  63.3, 143.2, 206.9, 16.1, 89.9, 1787, 1119,  73,  66, 242,    0, 1691, KH@@, HG,  4.7, 44.0,  065.54500096.0005320115.013066.24250512.0005320130000.11100510010000000003.010
2012/07/13, 00:21:03, 1342138863.61, 64.7, N,  28.9, W,  60.8, 146.0, 206.9, 16.2, 90.0, 1798, 1119,  73,  66, 242,    0, 1691, KH@@, HG,  4.8, 44.0,  065.54500096.0005320115.013066.24250512.0005320130000.11100510010000000003.010
2012/07/13, 00:22:04, 1342138924.38, 64.7, N,  28.9, W,  62.0, 144.7, 206.7, 16.2, 89.9, 1791, 1119,  73,  66, 242,    0, 1691, KH@@, HG,  4.7, 44.0,  065.54500096.0005320115.013066.24250512.0005320130000.11100510010000000003.010
2012/07/13, 00:23:04, 1342138984.07, 64.7, N,  28.9, W,  63.7, 143.0, 207.0, 16.2, 90.1, 1776, 1119,  73,  66, 242,    0, 1691, KH@@, HG,  5.0, 44.0,  065.54500096.0005320115.013066.24250512.0005320130000.11100510010000000003.010
2012/07/13, 00:24:03, 1342139043.79, 64.7, N,  28.9, W,  61.8, 144.7, 206.7, 16.0, 89.9, 1777, 1119,  73,  66, 242,    0, 1691, KH@@, HG,  4.3, 44.0,  065.54500096.0005320115.013066.24250512.0005320130000.11100510010000000003.010
