Date, Time_GMT, Unixtime, Lat, NS, Lon, EW, Gyro, AzRel, AzTrue, El, Cr, DacAgc, Thresh, PolAng, DacMHz, DacKHz, NID, Aux, DacStatus, RemLocal, EbNo, MdmAgc, MdmMGC
2012/07/04, 00:00:03, 1341360003.98, 61.5, N,  33.5, W, 339.9, 221.4, 201.3, 19.7, 90.1, 1960, 1173,  73,  69, 697,    0, 1691, KH@@, HG,  9.1, 49.0,  069.05000096.0005320116.013069.69750512.0005320130000.11100510010000000003.010
2012/07/04, 00:01:03, 1341360063.79, 61.5, N,  33.5, W,  54.3, 147.5, 201.3, 19.4, 89.9, 1971, 1173,  73,  69, 697,    0, 1692, KH@@, HG,  9.4, 48.0,  069.05000096.0005320116.013069.69750512.0005320130000.11100510010000000003.010
2012/07/04, 00:02:03, 1341360123.55, 61.5, N,  33.5, W,  90.6, 111.4, 201.9, 19.7, 89.9, 1970, 1173,  73,  69, 697,    0, 1692, KH@@, HG,  9.2, 49.0,  069.05000096.0005320116.013069.69750512.0005320130000.11100510010000000003.010
2012/07/04, 00:03:04, 1341360184.30, 61.5, N,  33.5, W,  91.9, 110.5, 202.8, 19.9, 89.9, 1945, 1173,  73,  69, 697,    0, 1692, KH@@, HG,  9.0, 49.0,  069.05000096.0005320116.013069.69750512.0005320130000.11100510010000000003.010
2012/07/04, 00:04:03, 1341360243.97, 61.5, N,  33.5, W,  91.6, 110.7, 202.4, 19.8, 90.1, 1967, 1173,  73,  69, 697,    0, 1691, KH@@, HG,  9.4, 48.0,  069.05000096.0005320116.013069.69750512.0005320130000.11100510010000000003.010
2012/07/04, 00:05:03, 1341360303.78, 61.5, N,  33.3, W,  90.8, 111.5, 202.3, 19.7, 90.0, 1966, 1173,  73,  69, 697,    0, 1693, KH@@, HG,  9.1, 48.0,  069.05000096.0005320116.013069.69750512.0005320130000.11100510010000000003.010
2012/07/04, 00:06:03, 1341360363.49, 61.5, N,  33.3, W,  90.6, 112.1, 202.5, 19.4, 90.0, 1964, 1173,  73,  69, 697,    0, 1691, KH@@, HG,  9.4, 48.0,  069.05000096.0005320116.013069.69750512.0005320130000.11100510010000000003.010
2012/07/04, 00:07:04, 1341360424.18, 61.5, N,  33.3, W,  89.6, 112.1, 202.3, 20.1, 89.8, 1958, 1173,  73,  69, 697,    0, 1692, KH@@, HG,  9.4, 49.0,  069.05000096.0005320116.013069.69750512.0005320130000.11100510010000000003.010
2012/07/04, 00:08:03, 1341360483.95, 61.5, N,  33.3, W,  90.1, 112.4, 202.5, 19.8, 89.9, 1963, 1173,  73,  69, 697,    0, 1692, KH@@, HG,  9.3, 48.0,  069.05000096.0005320116.013069.69750512.0005320130000.11100510010000000003.010
2012/07/04, 00:09:03, 1341360543.63, 61.5, N,  33.3, W,  89.9, 112.3, 202.3, 19.7, 90.1, 1949, 1173,  73,  69, 697,    0, 1690, KH@@, HG,  9.1, 49.0,  069.05000096.0005320116.013069.69750512.0005320130000.11100510010000000003.010
