Date, Time_GMT, Unixtime, Lat, NS, Lon, EW, Gyro, AzRel, AzTrue, El, Cr, DacAgc, Thresh, PolAng, DacMHz, DacKHz, NID, Aux, DacStatus, RemLocal, EbNo, MdmAgc, MdmMGC
2012/06/14, 00:00:03, 1339632003.58, 37.7, N,  25.5, W, 238.4, 341.9, 220.2, 38.7, 89.9, 1635, 1051,  73,  66, 3865,    0, 1693, KH@@, HG,  6.0, 38.0,  065.54500096.0005320115.013066.24250512.0005320130000.11100510010000000003.010
2012/06/14, 00:01:04, 1339632064.27, 37.7, N,  25.5, W, 238.4, 341.8, 220.3, 39.0, 89.9, 1645, 1051,  73,  66, 3865,    0, 1694, KH@@, HG,  6.4, 38.0,  065.54500096.0005320115.013066.24250512.0005320130000.11100510010000000003.010
2012/06/14, 00:02:04, 1339632124.06, 37.7, N,  25.5, W, 238.4, 342.2, 220.5, 38.8, 89.9, 1648, 1051,  73,  66, 3865,    0, 1693, KH@@, HG,  6.3, 38.0,  065.54500096.0005320115.013066.24250512.0005320130000.11100510010000000003.010
2012/06/14, 00:03:03, 1339632183.74, 37.7, N,  25.5, W, 238.4, 341.9, 220.5, 38.9, 89.9, 1649, 1051,  73,  66, 3865,    0, 1695, KH@@, HG,  5.9, 38.0,  065.54500096.0005320115.013066.24250512.0005320130000.11100510010000000003.010
2012/06/14, 00:04:03, 1339632243.43, 37.7, N,  25.5, W, 238.4, 341.8, 220.2, 38.9, 89.9, 1640, 1051,  73,  66, 3865,    0, 1692, KH@@, HG,  6.3, 38.0,  065.54500096.0005320115.013066.24250512.0005320130000.11100510010000000003.010
2012/06/14, 00:05:04, 1339632304.21, 37.7, N,  25.5, W, 238.9, 341.3, 220.4, 38.7, 89.9, 1652, 1051,  73,  66, 3865,    0, 1694, KH@@, HG,  6.4, 38.0,  065.54500096.0005320115.013066.24250512.0005320130000.11100510010000000003.010
2012/06/14, 00:06:03, 1339632363.93, 37.7, N,  25.5, W, 239.3, 341.0, 220.2, 38.8, 89.9, 1656, 1051,  73,  66, 3865,    0, 1694, KH@@, HG,  6.0, 38.0,  065.54500096.0005320115.013066.24250512.0005320130000.11100510010000000003.010
2012/06/14, 00:07:03, 1339632423.62, 37.7, N,  25.5, W, 238.9, 341.8, 220.3, 38.7, 89.9, 1634, 1051,  73,  66, 3865,    0, 1695, KH@@, HG,  6.1, 38.0,  065.54500096.0005320115.013066.24250512.0005320130000.11100510010000000003.010
2012/06/14, 00:08:04, 1339632484.39, 37.7, N,  25.5, W, 238.8, 341.8, 220.4, 38.8, 89.9, 1653, 1051,  73,  66, 3865,    0, 1693, KH@@, HG,  6.3, 38.0,  065.54500096.0005320115.013066.24250512.0005320130000.11100510010000000003.010
2012/06/14, 00:09:04, 1339632544.14, 37.7, N,  25.5, W, 238.4, 342.1, 220.3, 38.8, 89.9, 1638, 1051,  73,  66, 3865,    0, 1693, KH@@, HG,  6.3, 37.0,  065.54500096.0005320115.013066.24250512.0005320130000.11100510010000000003.010
2012/06/14, 00:10:03, 1339632603.87, 37.7, N,  25.5, W, 238.3, 342.0, 220.3, 39.0, 89.9, 1647, 1051,  73,  66, 3865,    0, 1694, KH@@, HG,  6.4, 38.0,  065.54500096.0005320115.013066.24250512.0005320130000.11100510010000000003.010
2012/06/14, 00:11:03, 1339632663.60, 37.7, N,  25.5, W, 238.4, 341.5, 220.3, 38.8, 89.9, 1639, 1051,  73,  66, 3865,    0, 1695, KH@@, HG,  6.5, 37.0,  065.54500096.0005320115.013066.24250512.0005320130000.11100510010000000003.010
2012/06/14, 00:12:04, 1339632724.28, 37.7, N,  25.5, W, 238.4, 341.9, 220.3, 38.7, 89.9, 1645, 1051,  73,  66, 3865,    0, 1693, KH@@, HG,  6.5, 38.0,  065.54500096.0005320115.013066.24250512.0005320130000.11100510010000000003.010
2012/06/14, 00:13:04, 1339632784.01, 37.7, N,  25.5, W, 238.4, 341.9, 220.2, 39.0, 89.9, 1654, 1051,  73,  66, 3865,    0, 1695, KH@@, HG,  6.4, 38.0,  065.54500096.0005320115.013066.24250512.0005320130000.11100510010000000003.010
2012/06/14, 00:14:03, 1339632843.78, 37.7, N,  25.5, W, 238.8, 341.3, 220.2, 39.0, 89.9, 1631, 1051,  73,  66, 3865,    0, 1692, KH@@, HG,  6.5, 38.0,  065.54500096.0005320115.013066.24250512.0005320130000.11100510010000000003.010
