Date, Time_GMT, Unixtime, Lat, NS, Lon, EW, Gyro, AzRel, AzTrue, El, Cr, DacAgc, Thresh, PolAng, DacMHz, DacKHz, NID, Aux, DacStatus, RemLocal, EbNo, MdmAgc, MdmMGC
2012/07/11, 00:00:03, 1341964803.94, 61.7, N,  34.0, W, 115.9,  86.2, 201.9, 19.8, 89.9, 1785, 1187,  73,  66, 242,    0, 1693, KH@@, HG,  4.6, 43.0,  065.54500096.0005320115.013066.24250512.0005320130000.11100510010000000003.010
2012/07/11, 00:01:03, 1341964863.71, 61.7, N,  34.0, W, 110.4,  91.5, 202.1, 19.6, 89.8, 1783, 1187,  73,  66, 242,    0, 1692, KH@@, HG,  4.0, 43.0,  065.54500096.0005320115.013066.24250512.0005320130000.11100510010000000003.010
2012/07/11, 00:02:03, 1341964923.43, 61.7, N,  34.0, W,  88.0, 114.4, 202.4, 20.0, 89.9, 1757, 1187,  73,  66, 242,    0, 1692, KH@@, HG,  4.0, 44.0,  065.54500096.0005320115.013066.24250512.0005320130000.11100510010000000003.010
2012/07/11, 00:03:04, 1341964984.15, 61.7, N,  34.0, W,  76.8, 125.5, 202.7, 19.5, 89.9, 1775, 1187,  73,  66, 242,    0, 1692, KH@@, HG,  4.4, 43.0,  065.54500096.0005320115.013066.24250512.0005320130000.11100510010000000003.010
2012/07/11, 00:04:03, 1341965043.92, 61.7, N,  34.0, W,  81.6, 121.2, 202.4, 19.6, 90.0, 1770, 1187,  73,  66, 242,    0, 1694, KH@@, HG,  4.5, 44.0,  065.54500096.0005320115.013066.24250512.0005320130000.11100510010000000003.010
2012/07/11, 00:05:03, 1341965103.81, 61.7, N,  34.0, W,  81.3, 121.2, 202.8, 19.9, 89.9, 1782, 1187,  73,  66, 242,    0, 1693, KH@@, HG,  4.3, 44.0,  065.54500096.0005320115.013066.24250512.0005320130000.11100510010000000003.010
2012/07/11, 00:06:03, 1341965163.53, 61.7, N,  34.0, W,  76.6, 126.2, 202.8, 19.8, 89.9, 1780, 1187,  73,  66, 242,    0, 1692, KH@@, HG,  4.4, 43.0,  065.54500096.0005320115.013066.24250512.0005320130000.11100510010000000003.010
2012/07/11, 00:07:04, 1341965224.22, 61.7, N,  34.0, W,  94.8, 106.9, 202.3, 19.6, 89.8, 1772, 1187,  73,  66, 242,    0, 1691, KH@@, HG,  4.3, 44.0,  065.54500096.0005320115.013066.24250512.0005320130000.11100510010000000003.010
2012/07/11, 00:08:03, 1341965283.95, 61.7, N,  34.0, W, 121.6,  80.3, 201.5, 19.8, 89.9, 1786, 1187,  73,  66, 242,    0, 1691, KH@@, HG,  4.4, 44.0,  065.54500096.0005320115.013066.24250512.0005320130000.11100510010000000003.010
2012/07/11, 00:09:03, 1341965343.61, 61.7, N,  34.0, W, 115.6,  87.0, 202.5, 19.8, 90.0, 1781, 1187,  73,  66, 242,    0, 1693, KH@@, HG,  4.3, 44.0,  065.54500096.0005320115.013066.24250512.0005320130000.11100510010000000003.010
