Date, Time_GMT, Unixtime, Lat, NS, Lon, EW, Gyro, AzRel, AzTrue, El, Cr, DacAgc, Thresh, PolAng, DacMHz, DacKHz, NID, Aux, DacStatus, RemLocal, EbNo, MdmAgc, MdmMGC
2012/07/09, 00:00:04, 1341792004.05, 62.3, N,  34.9, W, 217.7, 343.3, 201.1, 19.3, 89.9, 1946, 1160,  73,  69, 697,    0, 1692, KH@@, HG,  9.1, 49.0,  069.05000096.0005320116.013069.69750512.0005320130000.11100510010000000003.010
2012/07/09, 00:01:03, 1341792063.78, 62.3, N,  34.9, W, 216.6, 344.5, 201.2, 19.1, 89.9, 1948, 1160,  73,  69, 697,    0, 1693, KH@@, HG,  9.1, 49.0,  069.05000096.0005320116.013069.69750512.0005320130000.11100510010000000003.010
2012/07/09, 00:02:03, 1341792123.55, 62.3, N,  34.9, W, 216.3, 344.8, 200.9, 19.2, 90.0, 1950, 1160,  73,  69, 697,    0, 1694, KH@@, HG,  9.0, 49.0,  069.05000096.0005320116.013069.69750512.0005320130000.11100510010000000003.010
2012/07/09, 00:03:04, 1341792184.28, 62.3, N,  34.9, W, 213.6, 347.7, 201.2, 19.1, 90.0, 1953, 1160,  73,  69, 697,    0, 1693, KH@@, HG,  9.1, 49.0,  069.05000096.0005320116.013069.69750512.0005320130000.11100510010000000003.010
2012/07/09, 00:04:04, 1341792244.01, 62.3, N,  34.9, W, 213.3, 347.7, 201.1, 19.1, 90.0, 1952, 1160,  73,  69, 697,    0, 1690, KH@@, HG,  9.0, 49.0,  069.05000096.0005320116.013069.69750512.0005320130000.11100510010000000003.010
2012/07/09, 00:05:03, 1341792303.84, 62.3, N,  34.9, W, 213.4, 347.8, 201.4, 19.1, 89.9, 1948, 1160,  73,  69, 697,    0, 1692, KH@@, HG,  8.8, 49.0,  069.05000096.0005320116.013069.69750512.0005320130000.11100510010000000003.010
2012/07/09, 00:06:03, 1341792363.61, 62.3, N,  34.9, W, 214.9, 345.5, 201.1, 19.2, 90.0, 1952, 1160,  73,  69, 697,    0, 1692, KH@@, HG,  9.1, 49.0,  069.05000096.0005320116.013069.69750512.0005320130000.11100510010000000003.010
2012/07/09, 00:07:04, 1341792424.34, 62.3, N,  34.9, W, 297.0, 263.4, 199.8, 18.7, 90.0, 1948, 1160,  73,  69, 697,    0, 1692, KH@@, HG,  9.1, 49.0,  069.05000096.0005320116.013069.69750512.0005320130000.11100510010000000003.010
2012/07/09, 00:08:04, 1341792484.02, 62.3, N,  34.9, W, 353.4, 208.0, 201.0, 19.2, 90.0, 1939, 1160,  73,  69, 697,    0, 1691, KH@@, HG,  8.7, 51.0,  069.05000096.0005320116.013069.69750512.0005320130000.11100510010000000003.010
2012/07/09, 00:09:03, 1341792543.75, 62.3, N,  34.9, W, 353.9, 208.0, 202.4, 19.4, 89.9, 1948, 1160,  73,  69, 697,    0, 1691, KH@@, HG,  9.1, 49.0,  069.05000096.0005320116.013069.69750512.0005320130000.11100510010000000003.010
2012/07/09, 00:10:03, 1341792603.54, 62.3, N,  34.9, W, 354.6, 207.6, 202.3, 19.4, 89.9, 1950, 1160,  73,  69, 697,    0, 1691, KH@@, HG,  9.0, 49.0,  069.05000096.0005320116.013069.69750512.0005320130000.11100510010000000003.010
2012/07/09, 00:11:04, 1341792664.27, 62.3, N,  34.9, W, 353.9, 208.1, 202.0, 19.2, 90.0, 1941, 1160,  73,  69, 697,    0, 1691, KH@@, HG,  8.9, 49.0,  069.05000096.0005320116.013069.69750512.0005320130000.11100510010000000003.010
2012/07/09, 00:12:03, 1341792723.95, 62.3, N,  34.9, W, 353.9, 207.8, 201.6, 19.4, 89.9, 1956, 1160,  73,  69, 697,    0, 1693, KH@@, HG,  9.4, 49.0,  069.05000096.0005320116.013069.69750512.0005320130000.11100510010000000003.010
2012/07/09, 00:13:03, 1341792783.69, 62.3, N,  34.9, W, 353.7, 207.9, 201.8, 19.1, 89.9, 1953, 1160,  73,  69, 697,    0, 1692, KH@@, HG,  9.2, 49.0,  069.05000096.0005320116.013069.69750512.0005320130000.11100510010000000003.010
2012/07/09, 00:14:04, 1341792844.42, 62.3, N,  34.9, W, 347.8, 214.1, 201.9, 19.2, 90.0, 1943, 1160,  73,  69, 697,    0, 1692, KH@@, HG,  8.9, 49.0,  069.05000096.0005320116.013069.69750512.0005320130000.11100510010000000003.010
2012/07/09, 00:15:04, 1341792904.14, 62.3, N,  34.9, W, 346.1, 216.0, 202.1, 19.2, 89.9, 1967, 1160,  73,  69, 697,    0, 1691, KH@@, HG,  9.1, 49.0,  069.05000096.0005320116.013069.69750512.0005320130000.11100510010000000003.010
2012/07/09, 00:16:03, 1341792963.83, 62.3, N,  34.9, W, 346.3, 215.8, 202.0, 19.4, 89.9, 1950, 1160,  73,  69, 697,    0, 1692, KH@@, HG,  9.0, 50.0,  069.05000096.0005320116.013069.69750512.0005320130000.11100510010000000003.010
2012/07/09, 00:17:03, 1341793023.66, 62.3, N,  34.9, W, 346.1, 216.1, 202.0, 19.2, 89.9, 1936, 1160,  73,  69, 697,    0, 1693, KH@@, HG,  8.8, 50.0,  069.05000096.0005320116.013069.69750512.0005320130000.11100510010000000003.010
2012/07/09, 00:18:04, 1341793084.48, 62.3, N,  34.9, W, 345.4, 216.3, 201.9, 19.1, 89.8, 1937, 1160,  73,  69, 697,    0, 1693, KH@@, HG,  9.0, 49.0,  069.05000096.0005320116.013069.69750512.0005320130000.11100510010000000003.010
2012/07/09, 00:19:04, 1341793144.20, 62.3, N,  34.9, W, 343.9, 217.8, 201.7, 19.2, 89.9, 1946, 1160,  73,  69, 697,    0, 1691, KH@@, HG,  9.1, 49.0,  069.05000096.0005320116.013069.69750512.0005320130000.11100510010000000003.010
2012/07/09, 00:20:04, 1341793204.01, 62.3, N,  34.9, W, 340.6, 220.9, 202.0, 19.0, 89.9, 1937, 1160,  73,  69, 697,    0, 1693, KH@@, HG,  8.9, 50.0,  069.05000096.0005320116.013069.69750512.0005320130000.11100510010000000003.010
2012/07/09, 00:21:03, 1341793263.78, 62.3, N,  34.9, W, 340.8, 220.9, 201.7, 19.2, 90.0, 1932, 1160,  73,  69, 697,    0, 1691, KH@@, HG,  8.9, 50.0,  069.05000096.0005320116.013069.69750512.0005320130000.11100510010000000003.010
2012/07/09, 00:22:03, 1341793323.46, 62.3, N,  34.9, W, 340.9, 220.6, 201.6, 19.2, 89.9, 1949, 1160,  73,  69, 697,    0, 1693, KH@@, HG,  9.1, 49.0,  069.05000096.0005320116.013069.69750512.0005320130000.11100510010000000003.010
2012/07/09, 00:23:04, 1341793384.22, 62.3, N,  34.9, W, 340.4, 221.3, 201.6, 19.1, 89.9, 1937, 1160,  73,  69, 697,    0, 1692, KH@@, HG,  8.8, 50.0,  069.05000096.0005320116.013069.69750512.0005320130000.11100510010000000003.010
2012/07/09, 00:24:03, 1341793443.94, 62.3, N,  34.9, W, 340.4, 220.9, 201.5, 19.3, 89.9, 1946, 1160,  73,  69, 697,    0, 1692, KH@@, HG,  8.8, 50.0,  069.05000096.0005320116.013069.69750512.0005320130000.11100510010000000003.010
2012/07/09, 00:25:03, 1341793503.67, 62.3, N,  34.9, W, 340.4, 221.0, 201.5, 19.1, 90.0, 1950, 1160,  73,  69, 697,    0, 1692, KH@@, HG,  8.9, 50.0,  069.05000096.0005320116.013069.69750512.0005320130000.11100510010000000003.010
2012/07/09, 00:26:04, 1341793564.40, 62.3, N,  34.9, W, 340.2, 221.0, 201.3, 19.2, 89.9, 1947, 1160,  73,  69, 697,    0, 1692, KH@@, HG,  8.9, 50.0,  069.05000096.0005320116.013069.69750512.0005320130000.11100510010000000003.010
2012/07/09, 00:27:04, 1341793624.13, 62.3, N,  34.9, W, 339.9, 221.3, 201.3, 19.1, 89.9, 1943, 1160,  73,  69, 697,    0, 1691, KH@@, HG,  9.1, 50.0,  069.05000096.0005320116.013069.69750512.0005320130000.11100510010000000003.010
2012/07/09, 00:28:03, 1341793683.86, 62.3, N,  34.9, W, 340.2, 220.6, 201.1, 19.1, 90.0, 1942, 1160,  73,  69, 697,    0, 1693, KH@@, HG,  8.9, 50.0,  069.05000096.0005320116.013069.69750512.0005320130000.11100510010000000003.010
2012/07/09, 00:29:03, 1341793743.60, 62.3, N,  34.9, W, 340.4, 220.6, 201.0, 19.2, 90.0, 1949, 1160,  73,  69, 697,    0, 1691, KH@@, HG,  9.0, 50.0,  069.05000096.0005320116.013069.69750512.0005320130000.11100510010000000003.010
2012/07/09, 00:30:04, 1341793804.46, 62.3, N,  34.9, W, 339.9, 221.1, 201.0, 19.3, 90.0, 1936, 1160,  73,  69, 697,    0, 1691, KH@@, HG,  8.9, 50.0,  069.05000096.0005320116.013069.69750512.0005320130000.11100510010000000003.010
2012/07/09, 00:31:04, 1341793864.19, 62.3, N,  34.9, W, 338.9, 222.2, 201.0, 19.0, 90.0, 1949, 1160,  73,  69, 697,    0, 1691, KH@@, HG,  8.7, 50.0,  069.05000096.0005320116.013069.69750512.0005320130000.11100510010000000003.010
2012/07/09, 00:32:03, 1341793923.87, 62.3, N,  34.9, W, 333.9, 226.3, 200.8, 19.0, 89.9, 1942, 1160,  73,  69, 697,    0, 1694, KH@@, HG,  8.9, 50.0,  069.05000096.0005320116.013069.69750512.0005320130000.11100510010000000003.010
2012/07/09, 00:33:03, 1341793983.64, 62.3, N,  34.9, W, 334.9, 225.6, 200.3, 19.4, 89.9, 1957, 1160,  73,  69, 697,    0, 1690, KH@@, HG,  8.9, 49.0,  069.05000096.0005320116.013069.69750512.0005320130000.11100510010000000003.010
2012/07/09, 00:34:04, 1341794044.42, 62.3, N,  34.9, W, 334.4, 226.1, 200.4, 19.3, 89.9, 1923, 1160,  73,  69, 697,    0, 1691, KH@@, HG,  8.7, 50.0,  069.05000096.0005320116.013069.69750512.0005320130000.11100510010000000003.010
