Date, Time_GMT, Unixtime, Lat, NS, Lon, EW, Gyro, AzRel, AzTrue, El, Cr, DacAgc, Thresh, PolAng, DacMHz, DacKHz, NID, Aux, DacStatus, RemLocal, EbNo, MdmAgc, MdmMGC
2012/07/01, 00:00:04, 1341100804.46, 61.5, N,  34.0, W,  81.6, 120.4, 202.2, 20.0, 89.9, 1605, 1116,  73,  66, 3865,    0, 1691, KH@@, HG,  4.9, 40.0,  065.54500096.0005320115.013066.24250512.0005320130000.11100510010000000003.010
2012/07/01, 00:01:04, 1341100864.25, 61.5, N,  34.0, W,  80.1, 122.5, 202.3, 19.7, 90.0, 1607, 1116,  73,  66, 3865,    0, 1691, KH@@, HG,  4.9, 40.0,  065.54500096.0005320115.013066.24250512.0005320130000.11100510010000000003.010
2012/07/01, 00:02:03, 1341100923.97, 61.5, N,  34.0, W,  80.6, 121.5, 202.4, 19.9, 90.0, 1614, 1116,  73,  66, 3865,    0, 1691, KH@@, HG,  4.8, 39.0,  065.54500096.0005320115.013066.24250512.0005320130000.11100510010000000003.010
2012/07/01, 00:03:03, 1341100983.70, 61.5, N,  34.0, W,  80.6, 121.2, 202.2, 19.9, 89.9, 1617, 1116,  73,  66, 3865,    0, 1692, KH@@, HG,  4.7, 40.0,  065.54500096.0005320115.013066.24250512.0005320130000.11100510010000000003.010
2012/07/01, 00:04:04, 1341101044.43, 61.5, N,  34.0, W,  81.4, 121.2, 202.4, 19.8, 89.9, 1610, 1116,  73,  66, 3865,    0, 1692, KH@@, HG,  4.8, 40.0,  065.54500096.0005320115.013066.24250512.0005320130000.11100510010000000003.010
2012/07/01, 00:05:04, 1341101104.28, 61.5, N,  34.0, W,  79.4, 123.0, 202.4, 19.8, 89.9, 1603, 1116,  73,  66, 3865,    0, 1694, KH@@, HG,  5.3, 40.0,  065.54500096.0005320115.013066.24250512.0005320130000.11100510010000000003.010
2012/07/01, 00:06:04, 1341101164.03, 61.5, N,  34.0, W,  81.4, 120.7, 202.2, 19.9, 89.9, 1622, 1116,  73,  66, 3865,    0, 1693, KH@@, HG,  5.0, 39.0,  065.54500096.0005320115.013066.24250512.0005320130000.11100510010000000003.010
2012/07/01, 00:07:03, 1341101223.75, 61.5, N,  34.0, W,  95.1, 106.9, 202.0, 19.8, 89.8, 1598, 1116,  73,  66, 3865,    0, 1692, KH@@, HG,  4.6, 40.0,  065.54500096.0005320115.013066.24250512.0005320130000.11100510010000000003.010
2012/07/01, 00:08:03, 1341101283.49, 61.5, N,  34.0, W, 110.2,  91.6, 201.6, 19.8, 89.9, 1613, 1116,  73,  66, 3865,    0, 1693, KH@@, HG,  4.9, 39.0,  065.54500096.0005320115.013066.24250512.0005320130000.11100510010000000003.010
2012/07/01, 00:09:04, 1341101344.17, 61.5, N,  34.0, W, 110.6,  91.3, 201.7, 19.9, 89.8, 1612, 1116,  73,  66, 3865,    0, 1692, KH@@, HG,  4.8, 39.0,  065.54500096.0005320115.013066.24250512.0005320130000.11100510010000000003.010
2012/07/01, 00:10:04, 1341101404.04, 61.5, N,  34.0, W, 109.6,  92.2, 202.0, 19.8, 89.9, 1602, 1116,  73,  66, 3865,    0, 1691, KH@@, HG,  4.7, 39.0,  065.54500096.0005320115.013066.24250512.0005320130000.11100510010000000003.010
2012/07/01, 00:11:03, 1341101463.75, 61.5, N,  34.0, W, 110.1,  92.2, 202.1, 19.6, 89.8, 1615, 1116,  73,  66, 3865,    0, 1691, KH@@, HG,  4.7, 39.0,  065.54500096.0005320115.013066.24250512.0005320130000.11100510010000000003.010
2012/07/01, 00:12:03, 1341101523.51, 61.5, N,  34.0, W, 110.9,  91.3, 201.8, 20.0, 89.9, 1614, 1116,  73,  66, 3865,    0, 1691, KH@@, HG,  4.9, 40.0,  065.54500096.0005320115.013066.24250512.0005320130000.11100510010000000003.010
